ประเภท,_id,ปี,พื้นที่ปลูก,หน่วยนับ,หน่วยงานเจ้าของข้อมูล,อำเภอ,รายการข้อมูล,จังหวัด
ข้าวนาปี,1,2566,"173,364.25",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เมืองสกลนคร,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,2,2566,"152,090.75",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุสุมาลย์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,3,2566,"65,969.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุดบาก,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,4,2566,"160,881.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พรรณานิคม,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,5,2566,"72,515.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พังโคน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,6,2566,"86,913.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วาริชภูมิ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,7,2566,"18,110.93",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,นิคมน้ำอูน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,8,2566,"318,855.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วานรนิวาส,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,9,2566,"87,696.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,คำตากล้า,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,10,2566,"148,499.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,บ้านม่วง,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
