จำนวน,ที่มา,ชุดข้อมูล,_id,ปี,ไตรมาส,จังหวัด,หน่วย
393442,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,1,2563,เฉลี่ยทั้งปี,กาฬสินธุ์,คน
388427,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,2,2563,ไตรมาส 1,กาฬสินธุ์,คน
382431,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,3,2563,ไตรมาส 2,กาฬสินธุ์,คน
395919,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,4,2563,ไตรมาส 3,กาฬสินธุ์,คน
406992,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,5,2563,ไตรมาส 4,กาฬสินธุ์,คน
394394,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,6,2564,เฉลี่ยทั้งปี,กาฬสินธุ์,คน
399310,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,7,2564,ไตรมาส 1,กาฬสินธุ์,คน
394394,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,8,2564,ไตรมาส 2,กาฬสินธุ์,คน
399794,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,9,2564,ไตรมาส 3,กาฬสินธุ์,คน
406644,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,10,2564,ไตรมาส 4,กาฬสินธุ์,คน
386538,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,11,2565,เฉลี่ยทั้งปี,กาฬสินธุ์,คน
378701,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,12,2565,ไตรมาส 1,กาฬสินธุ์,คน
385259,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,13,2565,ไตรมาส 2,กาฬสินธุ์,คน
391482,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,14,2565,ไตรมาส 3,กาฬสินธุ์,คน
390711,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,15,2565,ไตรมาส 4,กาฬสินธุ์,คน
384870,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,16,2566,เฉลี่ยทั้งปี,กาฬสินธุ์,คน
375772,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,17,2566,ไตรมาส 1,กาฬสินธุ์,คน
372159,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,18,2566,ไตรมาส 2,กาฬสินธุ์,คน
401275,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,19,2566,ไตรมาส 3,กาฬสินธุ์,คน
390274,สำนักงานสถิติแห่งชาติ,ผู้มีงานทำ,20,2566,ไตรมาส 4,กาฬสินธุ์,คน
