OCCUPATION,VALUE,SOURCE,_id,UNIT,REGION,YEAR
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,28.03,สำนักงานสถิติแห่งชาติ,1,พันคน,1) กรุงเทพมหานคร,2563
02) ผู้ประกอบวิชาชีพด้านต่างๆ,13.47,สำนักงานสถิติแห่งชาติ,2,พันคน,1) กรุงเทพมหานคร,2563
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,9.04,สำนักงานสถิติแห่งชาติ,3,พันคน,1) กรุงเทพมหานคร,2563
04) เสมียน,3.77,สำนักงานสถิติแห่งชาติ,4,พันคน,1) กรุงเทพมหานคร,2563
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,126.49,สำนักงานสถิติแห่งชาติ,5,พันคน,1) กรุงเทพมหานคร,2563
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,3.99,สำนักงานสถิติแห่งชาติ,6,พันคน,1) กรุงเทพมหานคร,2563
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,30.66,สำนักงานสถิติแห่งชาติ,7,พันคน,1) กรุงเทพมหานคร,2563
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,31.91,สำนักงานสถิติแห่งชาติ,8,พันคน,1) กรุงเทพมหานคร,2563
09) ผู้ประกอบอาชีพงานพื้นฐาน,33.57,สำนักงานสถิติแห่งชาติ,9,พันคน,1) กรุงเทพมหานคร,2563
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.37,สำนักงานสถิติแห่งชาติ,10,พันคน,1) กรุงเทพมหานคร,2563
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,40.22,สำนักงานสถิติแห่งชาติ,11,พันคน,2) ภาคกลาง,2563
02) ผู้ประกอบวิชาชีพด้านต่างๆ,8.07,สำนักงานสถิติแห่งชาติ,12,พันคน,2) ภาคกลาง,2563
