ความเสียหาย,_id,ปี,รายการ,จังหวัด,หน่วย
"38,393.50",1,2564,พื้นที่เสียหายจากอุทกภัย ด้านพืช,ชัยนาท,ไร่
"16,385.09",2,2565,พื้นที่เสียหายจากอุทกภัย ด้านพืช,ชัยนาท,ไร่
0.00,3,2566,พื้นที่เสียหายจากอุทกภัย ด้านพืช,ชัยนาท,ไร่
244.75,4,2567,พื้นที่เสียหายจากอุทกภัย ด้านพืช,ชัยนาท,ไร่
829.63,5,2568,พื้นที่เสียหายจากอุทกภัย ด้านพืช,ชัยนาท,ไร่
