_id,ปี,โรงงาน,จำนวน,ด้าน,หน่วย,รายการสถิติทางการ
14,2564,สหกรณ์การเกษตรแม่แจ่ม จำกัด,"242,429,519",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
15,2564,โรงสีข้าวดวงคำ,"23,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
16,2564,โรงสีข้าววัลลภ,"9,460,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
17,2564,โรงสีข้าวสี่พี่น้อง,"30,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
18,2564,โรงสีข้าวทิพย์ธารา 2,"15,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
19,2564,ห้างหุ้นส่วนจำกัด พรมกังวาน,"2,600,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
20,2564,ต.วิชัยพาณิชย์,"11,300,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
21,2565,บริษัท กรรณิการ์ ธัญญกิจ จำกัด,"12,800,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
22,2565,บริษัท เนตรนิมิตค้าข้าว จำกัด,"29,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
23,2565,โรงอบข้าวกิตเจริญ,"19,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
24,2565,บริษัท ชัยโย ซีดส์ (ประเทศไทย) จำกัด,"22,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
25,2565,โรงสีกิตเจริญ,"20,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
26,2566,บริษัท สมชายค้าข้าว จำกัด,"25,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
27,2566,โรงงานแปรรูปกาแฟคาเฟ่อเมซอน,"207,513,675",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
28,2566,บริษัท ปลูกผักเพราะรักแม่ จำกัด,"30,700,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
29,2566,บริษัท สามแสน ไรซ์ จำกัด,"53,000,000",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
30,2567,บริษัท ไฮไลฟ์ โกลบอล ฟู้ดส์ จำกัด,"316,931,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
