จำนวนโรงงาน,_id,ปี,ระดับ,จังหวัด
86,1,2565,1,ระยอง
167,2,2565,2,ระยอง
397,3,2565,3,ระยอง
83,4,2565,4,ระยอง
14,5,2565,5,ระยอง
"1,327",6,2566,1,ระยอง
124,7,2566,2,ระยอง
168,8,2566,3,ระยอง
34,9,2566,4,ระยอง
17,10,2566,5,ระยอง
"1,302",11,2567,1,ระยอง
104,12,2567,2,ระยอง
175,13,2567,3,ระยอง
35,14,2567,4,ระยอง
9,15,2567,5,ระยอง
"1,305",16,2568,1,ระยอง
128,17,2568,2,ระยอง
177,18,2568,3,ระยอง
55,19,2568,4,ระยอง
9,20,2568,5,ระยอง
