province,Soure,ประเภทอุตสาหกรรม,_id,year,value,unit
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,1,2562,118,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,2,2562,42,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,3,2562,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,4,2562,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,5,2562,9,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,6,2562,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,7,2562,34,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,8,2562,9,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,9,2562,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,10,2562,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,11,2562,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,12,2562,10,แห่ง
