_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,28.6,2412.38,51763,84349,1742
2,2561,24.8,1889.29,51904,76181,1554
3,2562,27,2345.82,52590,86886,1762
4,2563,15.08,1572.2,53526,104248,2065
5,2564,23.21,2162.68,52791,93179,1911
