เนื้อที่เพาะปลูก,_id,ปี,ผลผลิตเฉลี่ย/ไร่(กก),เนื้อที่เก็บเกี่ยว,รายการ,ผลผลิต (ตัน)
5441,1,2561,1506,2197,กล้วยน้ำว้า,3309
33454,2,2561,823,16522,มะม่วง,13607
753,3,2561,488,695,ลิ้นจี่,339
3323,4,2561,1118,2196,เสาวรส,2455
8581,5,2561,1056,6536,ปาล์มน้ำมัน,6901
1291,6,2561,825,674,มะพร้าว,556
27793,7,2561,0,0,ไม้สัก,0
82249,8,2561,136,39232,ยางพารา,5346
10325,9,2561,18451,1240,ยูคาลิปตัส,22880
1803,10,2561,2786,665,มะขามเปรี้ยว,1852
87698,11,2561,434,82695,มะขามหวาน,35890
33454,12,2561,823,16522,มะม่วง,13607
753,13,2561,488,695,ลิ้นจี่,339
3323,14,2561,1118,2196,เสาวรส,2455
8581,15,2561,1056,6536,ปาล์มน้ำมัน,6901
1291,16,2561,825,674,มะพร้าว,556
27793,17,2561,0,0,ไม้สัก,0
82249,18,2561,136,39232,ยางพารา,5346
1803,19,2561,2786,665,มะขามเปรี้ยว,1852
6952,20,2562,5319,6952,กล้วยน้ำว้า,36978
24636,21,2562,977,24016,มะม่วง,23464
736,22,2562,465,648,ลิ้นจี่,301
27225,23,2562,0,0,ไม้สัก,0
8612,24,2562,0,0,ยูคาลิปตัส,0
2463,25,2562,2324,1255,ไม้ยืนต้นอื่นๆ,2917
5541,26,2562,861,5017,มะขามเปรี้ยว,4320
86846,27,2562,498,84011,มะขามหวาน,41837
6952,28,2562,5319,6952,กล้วยน้ำว้า,36978
15801,29,2562,1315,8144,ปาล์มน้ำมัน,10709
27225,30,2562,0,0,ไม้สัก,0
97263,31,2562,145,31443,ยางพารา,4559
8612,32,2562,0,0,ยูคาลิปตัส,0
5541,33,2562,861,5017,มะขามเปรี้ยว,4320
86846,34,2562,498,84011,มะขามหวาน,41837
1227,35,2562,735,51,มะพร้าวอ่อน,37
20827,36,2563,964,16959,มะม่วง,16348
903,37,2563,465,621,ลิ้นจี่,289
2256,38,2563,2894,1472,เสาวรส,4260
732,39,2563,685,711,มะพร้าว,487
28425,40,2563,13855,13574,ไม้สัก,188068
90664,41,2563,145,47952,ยางพารา,6953
13810,42,2563,13761,7971,ยูคาลิปตัส,109689
5901,43,2563,816,5299,มะขามเปรี้ยว,4324
109849,44,2563,495,105485,มะขามหวาน,52215
15919,45,2563,1464,8131,ปาล์มน้ำมัน,11903
4416,46,2563,3617,4241,กล้วยน้ำว้า,15338
20827,47,2563,964,16959,มะม่วง,16348
903,48,2563,465,621,ลิ้นจี่,289
2256,49,2563,2894,1472,เสาวรส,4260
732,50,2563,685,711,มะพร้าว,487
90664,51,2563,145,47952,ยางพารา,6953
13810,52,2563,13761,7971,ยูคาลิปตัส,109689
5901,53,2563,816,5299,มะขามเปรี้ยว,4324
109849,54,2563,495,105485,มะขามหวาน,52215
15919,55,2563,1464,8131,ปาล์มน้ำมัน,11903
34669,56,2564,929,22363,มะม่วง,20786
1690,57,2564,400,3,ลิ้นจี่,1.2
953,58,2564,1486,451,เสาวรส,670
1323,59,2564,825,166,มะพร้าว,137
27194,60,2564,30333,30,ไม้สัก,910
97820,61,2564,215,42509,ยางพารา,9222
8524,62,2564,17000,440,ยูคาลิปตัส,7480
3163,63,2564,1662,1010,มะขามเปรี้ยว,1678
111308,64,2564,586,104539,มะขามหวาน,61260
15604,65,2564,1764,5193,ปาล์มน้ำมัน,9162
34798,66,2565,828,22265,มะม่วง,18432
1690,67,2565,910,793,ลิ้นจี่,722
674,68,2565,1309,181,เสาวรส,237
1571,69,2565,825,735,มะพร้าว,606
27130,70,2565,13000,65,ไม้สัก,65
93754,71,2565,209,48898,ยางพารา,10191
8833,72,2565,15022,629,ยูคาลิปตัส,9449
3235,73,2565,1600,1579,มะขามเปรี้ยว,2526
93472,74,2565,764,69200,มะขามหวาน,52854
14499,75,2565,2761,5020,ปาล์มน้ำมัน,13860
30018,76,2566,746,12330,มะม่วง,9199
1690,77,2566,477,90,ลิ้นจี่,43
264,78,2566,515,101,เสาวรส,52
1526,79,2566,825,468,มะพร้าว,386
27572,80,2566,0,0,ไม้สัก,0
104020,81,2566,209,45779,ยางพารา,9587
8705,82,2566,10333,66,ยูคาลิปตัส,682
3256,83,2566,1807,1562,มะขามเปรี้ยว,2823
90017,84,2566,530,51662,มะขามหวาน,25508
15208,85,2566,2636,5427,ปาล์มน้ำมัน,14304
30700,86,2567,781,15325,มะม่วง,11970
28379,87,2567,30000,450,ไม้สัก,13500
95945,88,2567,244,37235,ยางพารา,9097
4229,89,2567,4044,878,กล้วยน้ำว้า,3551
3494,90,2567,1690,1912,มะขามเปรี้ยว,3231
88694,91,2567,434,61866,มะขามหวาน,25689
14273,92,2567,2437,8830,ปาล์มน้ำมัน,21519
97606.75,93,2568,284.34,39225.25,ยางพารา,11153.31714
89699.75,94,2568,473.5985881,73425.25,มะขามหวาน,34286.36546
3162.25,95,2568,1711.9,1723,มะขามเปรี้ยว,2949.6
29070.5,96,2568,734.09,20292.75,มะม่วง,14896.66
4092.25,97,2568,3044.61,777,กล้วยน้ำว้า,2365.66
28277.5,98,2568,0,0,ไม้สัก,0
15406.75,99,2568,2178.29,9677.75,ปาล์มน้ำมัน,21080.981
