ที่มา,_id,ปี,บ้านเลขที่,หมู่ที่,ชื่อลานเท,ค่า,อำเภอ,ตำบล,รายการ,หน่วย
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,1,2567,266,1,ทรัพย์นราปาล์มพันล้านพลัส สาขาเขาฝาก,1,เกาะลันตา,คลองยาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,2,2567,206,1,ลันตาปาล์มทอง,1,เกาะลันตา,คลองยาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,3,2567,255,4,จาริญาการยาง ปาล์ม,1,เกาะลันตา,เกาะกลาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,4,2567,,3,ลานลันตาน้อย,1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,5,2567,324,4,ก๊กทอง (กบ 713),1,เกาะลันตา,เกาะกลาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,6,2567,310,5,วี&พี ละงูวัสดุก่อสร้าง (กบ 747),1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,7,2567,72,2,ลันตาน้อยการเกษตร,1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,8,2567,82,3,สามแยกเจ๊ะหลี (กบ 798),1,เกาะลันตา,เกาะลันตาใหญ่,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,9,2567,266,2,แก้วเจริญ (กบ 895),1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,10,2567,216,1,ทรัพย์พรทวีการยาง,1,เกาะลันตา,คลองยาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,11,2567,101,2,99  (กบ 913),1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,12,2567,332,2,ทรัพย์อนันต์ปาล์ม,1,เกาะลันตา,เกาะลันตาน้อย,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,13,2567,30,6,ลานปาล์มศรีงาม,1,เกาะลันตา,เกาะกลาง,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,14,2567,82/1,6,ปาล์มชุมชนบ้านห้วยน้ำแก้ว,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,15,2567,210,8,ยงยุทธปาล์ม,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,16,2567,117,2,บจ.เขาพนมพาราวู้ด,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,17,2567,210,2,โคกหารปาล์ม ,1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,18,2567,99,3,บจ.ศรีเจริญปาล์มออยล์ (A),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,19,2567,82,6,บจ.ไบโอเทคออยล์,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,20,2567,70,2,บจ.ศรีเจริญปาล์มออยล์,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,21,2567,127,1,บจ.ป.พานิชรุ่งเรืองปาล์มออยล์ 3 (A) ,1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,22,2567,28,1,ช่วยบำรุงปาล์ม(เขาดิน)(กบ301),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,23,2567,235,3,บางเหรียงปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,24,2567,231,1,โกทะปาล์ม (กบ 005),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,25,2567,202,2,สินเจริญ (กบ 041),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
