เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
3885,1,เมืองตาก,1.0
2645,2,บ้านตาก,2.0
7768,3,สามเงา,3.0
33,4,แม่ระมาด,4.0
12,5,ท่าสองยาง,5.0
90,6,แม่สอด,6.0
101,7,พบพระ,7.0
34,8,อุ้มผาง,8.0
15326,9,วังเจ้า,9.0
29894,10,,รวม
,11,,
,12,,
