_id,ชนิดพืช/ปี พ.ศ.,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ชนิดพืช,ผลผลิตเฉลี่ย,ผลผลิต
1,สับปะรดโรงงาน/2560,2.5,48.44,5760,สับปะรดโรงงาน,3682,19378
2,สับปะรดโรงงาน/2561,3.21,59.77,4919,สับปะรดโรงงาน,3837,18621
3,สับปะรดโรงงาน/2562,3.23,66.57,6239,สับปะรดโรงงาน,3605,20739
4,สับปะรดโรงงาน/2563,9.36,170.94,5698,สับปะรดโรงงาน,3307,18263
5,สับปะรดโรงงาน/2564,6.15,82.57,5738,สับปะรดโรงงาน,3164,13426
