ที่มา,_id,ปี,จำนวนผู้งานทำ,หน่วย
สำนักงานสถิติจังหวัดลพบุรี,1,2555,479988.7875,คน
สำนักงานสถิติจังหวัดลพบุรี,2,2556,482438.33,คน
สำนักงานสถิติจังหวัดลพบุรี,3,2557,446734.25,คน
สำนักงานสถิติจังหวัดลพบุรี,4,2558,453574.1467,คน
สำนักงานสถิติจังหวัดลพบุรี,5,2559,445024.63,คน
สำนักงานสถิติจังหวัดลพบุรี,6,2560,430593.505,คน
สำนักงานสถิติจังหวัดลพบุรี,7,2561,440613,คน
สำนักงานสถิติจังหวัดลพบุรี,8,2562,"435,868",คน
สำนักงานสถิติจังหวัดลพบุรี,9,2563,"428,376",คน
สำนักงานสถิติจังหวัดลพบุรี,10,2564,"423,802",คน
สำนักงานสถิติจังหวัดลพบุรี,11,2565,"449,996",คน
สำนักงานสถิติจังหวัดลพบุรี,12,2566,"446,764",คน
สำนักงานสถิติจังหวัดลพบุรี,13,2567,425943,คน
