ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,"9,587",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,"3,497",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,"3,384",ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,"3,366",ราย
