TH No.,ถนน,เลขที่,จังหวัด,ชื่อ,_id,ตำบล,อำเภอ,Name,Factory Address,หมู่
1001,ถ.พระราม2,12/24,สมุทรสาคร,บริษัท เอ แอนด์ เอ็น ฟู้ดส์ จำกัด,1,ท่าจีน,เมืองสมุทรสาคร,"A&N Foods Co., Ltd.","12/24 Moo 6, Rama 2 Road, Tha Chin, Mueang Samut Sakhon, Samut Sakhon ",ม.6
1004,ถ.พระราม2,1/74-75 นิคมอุตสาหกรรมสมุทรสาคร,สมุทรสาคร,บริษัท ลัคกี้ ยูเนี่ยน ฟู้ดส์ จำกัด,2,ท่าทราย,เมืองสมุทรสาคร,"Lucky Union Foods Co., Ltd.","1/74-75, Samut Sakhon Industrial Estate Moo2, Thasai, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
1005,ถ.สายเศรษฐกิจ,"5/7-8, 5/10",สมุทรสาคร,บริษัท เอ็น แอนด์ เอ็น ฟูดส์ จำกัด,3,นาดี,เมืองสมุทรสาคร,N & N Foods Company Limited,"5/7-8, 5/10 Moo 4, Sai-Setthakij Road, Tambon Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1006,,82/12-14,สมุทรสาคร,บริษัท ซีพีเอฟ ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด ,4,บางโทรัด,เมืองสมุทรสาคร,CPF Food and Beverage Company Limited,"82/12-14 Moo. 4, Bang Tho Rat, Mueang Samut Sakhon, Samut Sakhon",ม.4
1007,ถ.พระราม2 กม.37,63/7,สมุทรสาคร,บริษัท สยามสมุทร โฟรเซ่นฟู้ดส์ จำกัด ,5,บางกระเจ้า,เมืองสมุทรสาคร,"Siam Ocean Frozen Foods Co., Ltd.","63/7 Moo 6, Rama 2 Km.37, Bang Krachao, Mueang Samut Sakhon, Samut Sakhon",ม.6
1025,ถ.เศษฐกิจ 1,72/1,สมุทรสาคร,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),6,ท่าทราย,เมืองสมุทรสาคร,Thai Union Group Public Company Limited,"72/1 Moo 7, Sethakit 1 Road, Tarsrai Sub-district, Mueang Samut Sakhon, Samut Sakhon ",ม.7
1026,,5/4,สมุทรสาคร,บริษัท เอ.พี.โฟร์เซ่นฟู้ดส์ จำกัด,7,ท่าทราย,เมืองสมุทรสาคร,"A.P. Frozen Foods Co., Ltd.","5/4 Moo 5 Tombon Tasai, Amphoe Muang,Samut Sakhon",ม.5
1028,ถ.เอกชัย,29/51,สมุทรสาคร,บริษัท ชัยวารี มารีนโปรดัคส์ จำกัด,8,นาดี,เมืองสมุทรสาคร,"Chaivaree Marine Products Co., Ltd.","29/51 Ekachai Road, T.Nadee, Mueang Samut Sakhon, Samut Sakhon ",
1038,ถ.เอกชัย,60/104,สมุทรสาคร,บริษัท องกรณ์ ห้องเย็น จำกัด,9,โคกขาม,เมืองสมุทรสาคร,"Ongkorn Cold Storage Co., Ltd.","60/104 Moo4, Ekachai Road, Kokkham, Mueang Samut Sakhon, Samut Sakhon ",ม.4
1054,ถ.เอกชัย,76/1-2,สมุทรสาคร,บริษัท เทพคินโช ฟูดส์ จำกัด,10,นาดี,เมืองสมุทรสาคร,"Tep Kinsho Foods Co., Ltd.","76 / 1-2 Moo3,Ekkachai  Road, Tambol Na-Dee, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
1056,ถ.เอกชัย,58/1,สมุทรสาคร,บริษัท ห้องเย็นชัยวรุตม์ จำกัด,11,บางน้ำจืด,เมืองสมุทรสาคร,"Tey Seng Cold Storage Co.,Ltd.","58/1 Moo 2 Ekachai Road, Bang Nam Chuet, Mueang Samut Sakhon, Samut Sakhon",ม.2
1066,,5/1,สมุทรสาคร,บริษัท อภิทุน เอ็นเตอร์ไพรส์ อุตสาหกรรม จำกัด,12,ท่าทราย,เมืองสมุทรสาคร,"Apitoon Enterprise Industry Co., Ltd.","5/1 Moo 5, Tambon Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.5
1084,ถ.พระราม2,55/2,สมุทรสาคร,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),13,บางกระเจ้า,เมืองสมุทรสาคร,Asian Sea Corporation Public Company Limited ,"55/2 Moo2, Rama II Road, Bang Krachao, Mueang Samut Sakhon, Samut Sakhon ",ม.2
1092,,75/12,สมุทรสาคร,บริษัท แปซิฟิคมารีนฟู้ดโปรดักส์ จำกัด,14,โคกขาม,เมืองสมุทรสาคร,"Pacific Marine Food Products Co., Ltd.","75/12 Moo5, Kokkham, Mueang Samut Sakhon, Samut Sakhon ",ม.5
1100,ถ.พระราม2,31/10,สมุทรสาคร,บริษัท คิบุน (ไทยแลนด์) จำกัด,15,บางกระเจ้า,เมืองสมุทรสาคร,"Kibun (Thailand) Co., Ltd.","31/10 Moo2, Rama 2 Road, Bangkrachao, Mueang Samut Sakhon, Samut Sakhon",ม.2
