จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
530249,1,2568,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
19980,2,2568,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
99984,3,2568,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
77,4,2568,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
4962,5,2568,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
1,6,2568,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),รถยนต์
158,7,2568,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
561,8,2568,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
527,9,2568,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
11,10,2568,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
1928973,11,2568,รย. 12 รถจักรยานยนต์,รถยนต์
49242,12,2568,รย. 13 รถแทร็กเตอร์,รถยนต์
739,13,2568,รย. 14 รถบดถนน,รถยนต์
251,14,2568,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
1029,15,2568,รย. 16 รถพ่วง,รถยนต์
1161,16,2568,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
1414,17,2568,รถโดยสารประจำทาง,รถขนส่ง
4043,18,2568,รถโดยสารไม่ประจำทาง,รถขนส่ง
514,19,2568,รถโดยสารส่วนบุคคล,รถขนส่ง
30464,20,2568,รถบรรทุกไม่ประจำทาง,รถขนส่ง
28236,21,2568,รถบรรทุกส่วนบุคคล,รถขนส่ง
