ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
ตัดหรือเย็บเครื่องนุ่งห่มอย่างใดอย่างหนึ่ง จากผ้าหนังสัตว์ ขนสัตว์ หรือวัสดุอื่นๆ,,, 12.00 ,ก2-28(1)-1/63,50100174125630,1,12.82,2801,บริษัท วีจี อินดัสเทรียล จำกัด,พระโขนง,63,สุขุมวิท 50 (เหลือสุข),คลองเตย,166,กรุงเทพมหานคร,บริษัท วีจี อินดัสเทรียล จำกัด,2, 52 ,10110
พิมพ์สิ่งพิมพ์ต่างๆ,,สุขุมวิท, 32.00 ,ก2-41(1)-9/64,50100010925649,2,52.44,4101,ห้างหุ้นส่วนจำกัด สุรศักดิ์ฟิล์ม,พระโขนง,64,เกษมสุวรรณ,คลองเตย,215,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด สุรศักดิ์ฟิล์ม,2, 40 ,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ,,สุนทรโกษา, 0.50 ,ก2-41(1)-10/64,50100012825649,3,57.89,4101,บริษัท นิวนำชวนพริ้นติ้ง จำกัด,คลองเตย,64,,คลองเตย,"87, 89, 91",กรุงเทพมหานคร,บริษัท นิวนำชวนพริ้นติ้ง จำกัด,2, 8 ,10110
ประกอบเครื่องชั่ง,,ริมทางรถไฟสายปากน้ำ, 0.50 ,ก2-69-2/64,50100013025645,4,57.44,6900,ห้างหุ้นส่วนจำกัด ซ้งหลีฮวดเครื่องชั่ง,คลองตัน,64,,คลองเตย,1619,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ซ้งหลีฮวดเครื่องชั่ง,2, 9 ,10110
ผลิตขนมปัง,,เจริญรัถ, 2.70 ,ก2-10(2)-1/64,50100063625641,5,54.7,1002,นายเจริญ ประดิษฐ์ชูสกุล,คลองต้นไทร,64,เจริญรัถ 20,คลองสาน,126,กรุงเทพมหานคร,นายเจริญ ประดิษฐ์ชูสกุล,2, 10 ,10600
ตัดเย็บมุ้ง ผ้าปูที่นอน และเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 70 เครื่อง),,กรุงธนบุรี, 13.05 ,ก2-23(1)-2/64,50100063725649,6,20.1,2301,บริษัท สถิตย์การ์เม้นท์ จำกัด,คลองต้นไทร,64,,คลองสาน,85,กรุงเทพมหานคร,บริษัท สถิตย์การ์เม้นท์ จำกัด,2, 55 ,10600
"ทำผลิตภัณฑ์จากผ้าใบ เช่น ผ้าใบคลุมรถ, คลุมเรือ และคลุมสินค้า",,เจริญนคร, 23.10 ,2-23(3)-3/38,10100800325389,7,55.0,2303,บริษัท กิติวัฒน์ผ้าใบ จำกัด,บางลำภูล่าง,38,,คลองสาน,"1553,1555,1557",กรุงเทพมหานคร,บริษัท กิติวัฒน์ผ้าใบ จำกัด,2, 22 ,10600
ปักลวดลายผ้า และถักแถบตราต่าง ๆ (จำนวนเครื่องปักผ้า 16 เครื่อง เครื่องถัก 2 เครื่อง),,เจริญนคร, 29.70 ,ก2-23(4)-5/64,50100064025643,8,57.38,2304,จรินทร์ เหลืองเมตตากุล,คลองต้นไทร,64,เจริญนคร 14,คลองสาน,560,กรุงเทพมหานคร,จรินทร์ เหลืองเมตตากุล,2, 54 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป,,เจริญนคร, 10.50 ,ก2-28(1)-39/64,50100064725648,9,26.7,2801,,คลองต้นไทร,64,เจริญนคร 10,คลองสาน,"139,141,143",กรุงเทพมหานคร,นายธนเกียรติ กนกวลีวงศ์,2, 54 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 40 เครื่อง),,เจริญนคร, 5.20 ,2-28(1)-63/31,10100006325316,10,10.32,2801,ห้างหุ้นส่วนจำกัด ไพจิตจันทร์การ์เม้นท์,บางลำภูล่าง,31,รวมโชค,คลองสาน,24-30,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ไพจิตจันทร์การ์เม้นท์,2, 100 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 65 เครื่อง),,เจริญนคร, 4.00 ,ก2-28(1)-41/64,50100065425644,11,56.22,2801,บริษัท มณฑล จำกัด,บางลำภูล่าง,64,เจริญนคร 28,คลองสาน,53-55-57-59,กรุงเทพมหานคร,บริษัท มณฑล จำกัด,2, 70 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 54 เครื่อง),,เจริญนคร, 9.75 ,ก2-28(1)-35/64,50100064225649,12,16.8,2801,ห้างหุ้นส่วนจำกัด ดูราเบิ้ล,คลองต้นไทร,64,เจริญนคร 10,คลองสาน,"257,259,261",กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ดูราเบิ้ล,2, 52 ,10600
รับจ้างตัดเย็บเสื้อผ้าสำเร็จรูป,,เจริญนคร, -   ,ก2-28(1)-37/64,50100064525642,13,22.47,2801,บริษัท พิพัฒน์ฟอกย้อม จำกัด,คลองต้นไทร,64,เจริญนคร 10,คลองสาน,235-245 (ชั้น 2),กรุงเทพมหานคร,บริษัท พิพัฒน์ฟอกย้อม จำกัด,2, 70 ,10600
ผลิตเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 50 เครื่อง),,ท่าดินแดง, 3.28 ,ก2-28(1)-38/64,50100064625640,14,15.0,2801,นายเกรียงชัย อภิชัยเกรียงไกร,คลองสาน,64,ท่าดินแดง 18 (พระพิศาล),คลองสาน,"154,156,158",กรุงเทพมหานคร,นายเกรียงชัย อภิชัยเกรียงไกร,2, 52 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (เสื้อยืด),,เจริญนคร, 4.50 ,ก2-28(1)-34/56,50100003425565,15,15.0,2801,บริษัท เจ.เอ็ม แอพพาเรล จำกัด,บางลำภูล่าง,56,เจริญนคร 53,คลองสาน,63,กรุงเทพมหานคร,บริษัท เจ.เอ็ม แอพพาเรล จำกัด,2, 50 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 44 เครื่อง),,เจริญนคร, 2.28 ,ก2-28(1)-36/64,50100064425645,16,11.25,2801,บางกอกอันเดอร์แวร์,บางลำภูล่าง,64,เจริญนคร 53/1,คลองสาน,15-17-19,กรุงเทพมหานคร,บางกอกอันเดอร์แวร์,2, 63 ,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จักรเย็บผ้า 120 เครื่อง),,เจริญรัถ, 0.30 ,ก2-28(1)-40/64,50100064825646,17,36.16,2801,ห้างหุ้นส่วนจำกัด เลิฟลี่กาเม้นท์,คลองสาน,64,เจริญรัถ 5,คลองสาน,4-6-8-10-12,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด เลิฟลี่กาเม้นท์,2, 65 ,10600
พิมพ์สิ่งพิมพ์ต่าง ๆ,,ลาดหญ้า, 9.60 ,ก2-41(1)-47/64,50100065625649,18,57.99,4101,ห้างหุ้นส่วนสามัญนิติบุคคล สหประชาพาณิชย์,สมเด็จเจ้าพระยา,64,,คลองสาน,377-381,กรุงเทพมหานคร,ห้างหุ้นส่วนสามัญนิติบุคคล สหประชาพาณิชย์,2, 20 ,10600
พิมพ์สิ่งพิมพ์และทำตราเครื่องหมายต่าง ๆ,,, 1.08 ,2-41(1)-18/35,10100501825356,19,37.06,4101,ห้างหุ้นส่วนจำกัด บุญญฤทธิ์ดีไซน์,บางลำภูล่าง,35,,คลองสาน,786/5-7,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด บุญญฤทธิ์ดีไซน์,2, 55 ,10600
ทำแฟ้มปกหนังสือ,,กรุงธนบุรี, 3.10 ,ก2-41(1)-46/64,50100065525641,20,54.56,4101,ห้างหุ้นส่วนจำกัด งานทวี พีวีซี อุตสาหกรรม,บางลำภูล่าง,64,กรุงธนบุรี 6,คลองสาน,284-286,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด งานทวี พีวีซี อุตสาหกรรม,2, 30 ,10600
ทำของใช้พลาสติก,0,ท่าดินแดง, -   ,ก2-53(1)-28/64,50100066425643,21,73.66,5301,นางหนู แซ่เฮง,คลองสาน,64,ท่าดินแดง 16,คลองสาน,36-38,กรุงเทพมหานคร,นางหนู แซ่เฮง,2, 6 ,10600
ทำของใช้จากพลาสติก เช่น ไม้แขวนเสื้อ กล่อง,,กรุงธนบุรี, 1.76 ,ก2-53(1)-27/64,50100065825645,22,67.78,5301,เจ้าพระยาพลาสติก,บางลำภูล่าง,64,กรุ.ธนบุรี 6,คลองสาน,157,กรุงเทพมหานคร,เจ้าพระยาพลาสติก,2, 5 ,10600
ซ่อม และผลิตชิ้นส่วนเครื่องจักรกลต่าง ๆ ได้ปีละ 20 ตัน,,เจริญนคร, 7.50 ,ก2-64(14)-6/64,50100066025641,23,69.5,6414,บริษัท เชียงเส็ง (เย้งกี่) จำกัด,คลองสาน,64,เจริญนคร 40,คลองสาน,227,กรุงเทพมหานคร,บริษัท เชียงเส็ง (เย้งกี่) จำกัด,2, 10 ,10600
การทำเครื่องประดับ,,เจริญนคร, 0.02 ,ก2-84(1)-5/67,50100141025673,24,13.48,8401,บริษัท สปาร์คลิงค์ เจมส์ จำกัด,บางลำภูล่าง,67,ซอยเจริญนคร 53/1,คลองสาน,"2, 4",กรุงเทพมหานคร,บริษัท สปาร์คลิงค์ เจมส์ จำกัด,2, 70 ,10600
ทำห้องเย็นเก็บอาหารแห้ง,,พญาไม้, 1.90 ,ก2-92-4/64,50100066125649,25,74.0,9200,ชัยยุทธ เอื้อบำรุงจิต,สมเด็จเจ้าพระยา,64,,คลองสาน,332,กรุงเทพมหานคร,ชัยยุทธ เอื้อบำรุงจิต,2, 3 ,10600
ผลิตชิ้นส่วนรองเท้า,,หทัยราษฎร์, 25.00 ,2-53(7)-1/44,10105100125447,26,37.0,5307,บริษัท แพน อะเพซ จำกัด,บางชัน,44,,คลองสามวา,192,กรุงเทพมหานคร,บริษัท แพน อะเพซ จำกัด,2, 50 ,10510
ทำโครงหลังคาเหล็ก และประตู-หน้าต่างเหล็กดัด,,พระยาสุเรนทร์, 0.50 ,ก2-63(2)-82/64,50100162025644,27,59.0,6302,,บางชัน,64,พระยาสุเรนทร์ 30,คลองสามวา,406,กรุงเทพมหานคร,นายประสิทธิ์ เลิศอภิสิทธิ์กุล,2, 6 ,10510
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 33 เครื่อง),,พหลโยธิน, 6.00 ,2-28(1)-45/32,10100004525321,28,20.81,2801,บริษัท อลงกรณ์ (1958) จำกัด,ลาดยาว,32,,จตุจักร,1082/9-12,กรุงเทพมหานคร,บริษัท อลงกรณ์ (1958) จำกัด,2, 50 ,10900
พิมพ์สิ่งพิมพ์ต่าง ๆ,,พหลโยธิน, 6.20 ,ก2-41(1)-3/64,50100005725640,29,53.15,4101,บริษัท บุญศิริการพิมพ์ จำกัด,ลาดยาว,64,เสนานิคม 1,จตุจักร,9/12-13,กรุงเทพมหานคร,บริษัท บุญศิริการพิมพ์ จำกัด,2, 27 ,10900
ทำโครงฝ้าเพดาน และโครงผนังอาคารจากโลหะ,9,ลาดพร้าว, 31.00 ,ก2-63(2)-6/64,50100005925646,30,50.0,6302,ห้างหุ้นส่วนจำกัด ดีเซม เซนเตอร์,ลาดยาว,64,ลาดพร้าว 26,จตุจักร,9/61,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด ดีเซม เซนเตอร์,2, 21 ,10900
ซ่อมรถไถและรถแทรคเตอร์,3,วิภาวดีรังสิต, 6.03 ,ก2-66-2/64,50100006125642,31,71.5,6600,บริษัท สหมณฑล จำกัด,ลาดยาว,64,,จตุจักร,83/7,กรุงเทพมหานคร,บริษัท สหมณฑล จำกัด,2, 11 ,10900
ทำท่อไอเสียรถยนต์ และอัดผ้าเบรครถยนต์,20,งามวงศ์วาน, -   ,ก2-77(2)-8/64,50100019125647,32,52.15,7702,พหลโยธินกลการ,ลาดยาว,64,-,จตุจักร,45/13,กรุงเทพมหานคร,พหลโยธินกลการ,2, 10 ,10900
บรรจุสินค้า,,งามวงศ์วาน, -   ,ก2-91(1)-2/56,50101700225563,33,1.4,9101,บริษัท รอซโซ่ จำกัด,ลาดยาว,56,ท่านผู้หญิงพหล,จตุจักร,388,กรุงเทพมหานคร,บริษัท รอซโซ่ จำกัด,2, 50 ,10900
ทอผ้า,5,สุขสวัสดิ์, 7.50 ,ก2-22(2)-7/64,50100032525641,34,71.0,2202,ธนกฤตการทอ,จอมทอง,64,สุขสวัสดิ์ 2,จอมทอง,38/262,กรุงเทพมหานคร,ธนกฤตการทอ,2, 15 ,10150
ถักผ้า,,สุขสวัสดิ์, 5.50 ,ก2-24-3/61,50100000325610,35,50.0,2400,บริษัท นอธเธอน ทัสโก้ จำกัด,จอมทอง,61,สุขสวัสดิ์ 14,จอมทอง,26/10,กรุงเทพมหานคร,บริษัท นอธเธอน ทัสโก้ จำกัด,2, 8 ,10150
"ถักปกเสื้อยืด (จำนวนเครื่องถัก 70 เครื่อง) ได้ปีละ 1,000 โหล",,พระรามที่ 2, 0.35 ,2-24-1/39,10102600125399,36,27.73,2400,บริษัท ก.เจริญกิจแฟลทนิท จำกัด,บางมด,39,วัดพุทธบูชา,จอมทอง,30/35-38,กรุงเทพมหานคร,บริษัท ก.เจริญกิจแฟลทนิท จำกัด,2, 52 ,10150
ถักผ้ายืด กางเกงใน ผ้ามุ้งและผ้าแถบอีลาสติก (จำนวนเครื่องถัก 12 เครื่อง),1,จอมทอง, 7.50 ,ก2-24-5/64,50100020725641,37,60.9,2400,บริษัท ไทยทูเวย์แฟบริค จำกัด,จอมทอง,64,เลิศพัฒนาใต้,จอมทอง,50/103,กรุงเทพมหานคร,บริษัท ไทยทูเวย์แฟบริค จำกัด,2, 34 ,10150
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 124 เครื่อง),,พระรามที่ 2 ซอย 7, 5.00 ,ก2-28(1)-33/64,50100057825645,38,32.74,2801,-,บางมด,64,สมาคมอุตสาหกรรมทอผ้าไทย,จอมทอง,"82,84,86,88",กรุงเทพมหานคร,นายอภิชาติ เจนสาธิต,2, 65 ,10150
ตัดเย็บเสื้อผ้าสำเร้จรูป (จำนวนจักรเย็บผ้า 60 เครื่อง),10,พระรามที่ 2, 5.30 ,ก2-28(1)-13/64,50100022825647,39,36.75,2801,บริษัท กู คอร์ปอเรชั่น จำกัด,บางมด,64,ชัยกูล,จอมทอง,20/14-18 (ชั้น 2),กรุงเทพมหานคร,บริษัท กู คอร์ปอเรชั่น จำกัด,2, 70 ,10150
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 270 เครื่อง),5,สุขสวัสดิ์, 10.00 ,ก2-28(1)-14/64,50100028425640,40,69.0,2801,บริษัท เชิ๊ตสตูดิโอ จำกัด,จอมทอง,64,สุขสวัสดิ์14,จอมทอง,31/106,กรุงเทพมหานคร,บริษัท เชิ๊ตสตูดิโอ จำกัด,2, 41 ,10150
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 52 เครื่อง),3,กำนันแม้น, 4.30 ,ก2-28(1)-10/64,50100022525643,41,19.56,2801,บริษัท ไทยซันทรี จำกัด,บางขุนเทียน,64,,จอมทอง,161/347-349,กรุงเทพมหานคร,บริษัท ไทยซันทรี จำกัด,2, 70 ,10150
การตัดเย็บเสื้อผ้า,,พระรามที่ 2, 20.00 ,ก2-28(1)-5/66,50100112325664,42,24.5,2801,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,บางมด,66,พระรามที่ 2 ซอย 27,จอมทอง,"45,47",กรุงเทพมหานคร,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,2, 63 ,10150
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 60 เครื่อง),10,เอกชัย, 7.00 ,ก2-28(1)-11/64,50100022625641,43,21.4,2801,บริษัท ส.วรภัณฑ์การ์เม้นท์ จำกัด,บางขุนเทียน,64,,จอมทอง,41/4,กรุงเทพมหานคร,บริษัท ส.วรภัณฑ์การ์เม้นท์ จำกัด,2, 68 ,10150
ตัดเย็บกระเป๋าผ้า,,พระรามที่ 2, 20.00 ,ก2-28(1)-6/66,50100112725665,44,24.5,2801,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,บางมด,66,พระรามที่ 2 ซอย 27,จอมทอง,51,กรุงเทพมหานคร,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,2, 63 ,10150
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 54 เครื่อง),,วุฒากาศ, 1.00 ,ก2-28(1)-12/64,50100022725649,45,17.5,2801,บริษัท ดำรงชัยการ์เม้นท์ จำกัด,บางค้อ,64,,จอมทอง,9/2,กรุงเทพมหานคร,บริษัท ดำรงชัยการ์เม้นท์ จำกัด,2, 54 ,10150
ทำหมวก,,พระรามที่ 2, 20.00 ,ก2-28(2)-1/66,50100112625667,46,24.5,2802,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,บางมด,66,พระรามที่ 2 ซอย 27,จอมทอง,49,กรุงเทพมหานคร,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,2, 63 ,10150
ทำกล่องกระดาษ,11,ดาวคนอง-จอมทอง, 2.60 ,ก2-39-5/64,50100022925645,47,50.3,3900,บริษัท ไทยแพค กรุ๊ป จำกัด,จอมทอง,64,วัดราชโอรส,จอมทอง,82/127-129,กรุงเทพมหานคร,บริษัท ไทยแพค กรุ๊ป จำกัด,2, 25 ,10150
ทำกล่องกระดาษและพิมพ์สิ่งพิมพ์ต่าง ๆ,2,จอมทอง, 6.70 ,ก2-39-6/64,50100023025643,48,55.0,3900,พัฒนาการพิมพ์,จอมทอง,64,จอมทอง 3/3(เทียนทรัพย์),จอมทอง,67/146,กรุงเทพมหานคร,พัฒนาการพิมพ์,2, 8 ,10150
เคลือบกระดาษด้วยพลาสติก,,รัตนกวี, 1.55 ,ก2-40(2)-1/64,50100023125641,49,59.76,4002,,จอมทอง,64,จอมทองพัฒนา,จอมทอง,39/1,กรุงเทพมหานคร,นางกาญจนวรรณ สุวรรณปริสุทธิ์,2, 1 ,10150
การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,,, 22.39 ,ก2-41(1)-2/68,50100009825685,50,58.0,4101,บริษัท เกรย์ แมทเทอร์ จำกัด,จอมทอง,68,,จอมทอง,32/28,กรุงเทพมหานคร,บริษัท เกรย์ แมทเทอร์ จำกัด,2, 48 ,10150
พิมพ์รูปภาพและอักษรลงบนกระดาษ,,, 13.00 ,ก2-41(1)-20/64,50100023425645,51,61.0,4101,บริษัท เอ.เอ็น.บี.บรรจุภัณฑ์ จำกัด,บางมด,64,พระรามที่ 2 ซอย25,จอมทอง,"110,112,114,116,118,120",กรุงเทพมหานคร,บริษัท เอ.เอ็น.บี.บรรจุภัณฑ์ จำกัด,2, 20 ,10150
พิมพ์สิ่งพิมพ์ต่าง ๆ,5,สุขสวัสดิ์, 1.00 ,ก2-41(1)-18/64,50100023225649,52,53.39,4101,ห้างหุ้นส่วนจำกัด เอกลักษณ์การพิมพ์,จอมทอง,64,สุขสวัสดิ์ 2,จอมทอง,64,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด เอกลักษณ์การพิมพ์,2, 15 ,10150
การพิมพ์หนังสือและสิ่งพิมพ์ทุกชนิด,5,พุทธบูชา, 8.50 ,ก2-41(1)-11/56,50100101125562,53,59.0,4101,บริษัท ทริปเปิ้ล เอส พริ้นท์ติ้ง จำกัด,บางมด,56,พุทธบูชา 9,จอมทอง,33/13,กรุงเทพมหานคร,บริษัท ทริปเปิ้ล เอส พริ้นท์ติ้ง จำกัด,2, 38 ,10150
ทำรองเท้ายาง,,วุฒากาศ, 1.40 ,ก2-52(4)-2/64,50100023625640,54,52.56,5204,ดี.เอ็ม.รับเบอร์,บางค้อ,64,,จอมทอง,38/9,กรุงเทพมหานคร,ดี.เอ็ม.รับเบอร์,2, 10 ,10150
ทำพื้นรองเท้า,,จอมทอง, 0.70 ,ก2-52(4)-4/64,50100023825646,55,68.76,5204,เอส.อาร์.รับเบอร์,จอมทอง,64,,จอมทอง,47/48,กรุงเทพมหานคร,เอส.อาร์.รับเบอร์,2, 11 ,10150
ทำผลิตภัณฑ์ยาง เช่น ยางแท่นเครื่อง ยางแท่นเกียร์ ฯลฯ และทำโมลด์,3,เอกชัย, 5.50 ,ก2-52(4)-1/64,50100023525642,56,59.43,5204,รุ่งกิจโลหะการ,บางขุนเทียน,64,ร่วมมิตร,จอมทอง,23/11,กรุงเทพมหานคร,รุ่งกิจโลหะการ,2, 8 ,10150
ทำซีลยาง,,พระรามที่ 2, 1.20 ,ก2-52(4)-5/64,50100023925644,57,56.98,5204,,บางมด,64,ร่วมพลัง,จอมทอง,28/31-32,กรุงเทพมหานคร,นายวิทยา วนเมธิน ,2, 6 ,10150
ทำผลิตภัณฑ์พลาสติก เช่น ฝาครอบไฟเลี้ยวรถจักรยานยนต์,,วุฒากาศ, 0.51 ,ก2-53(1)-13/64,50100028625645,58,72.16,5301,นฤเทพพลาสติก,บางค้อ,64,ตรงข้ามซอยนุชเนตร,จอมทอง,25/56-58,กรุงเทพมหานคร,นฤเทพพลาสติก,2, 2 ,10150
ทำของใช้และของเด็กเล่นด้วยพลาสติก เช่น ล้อรถต่าง ๆ,,วุฒากาศ, 2.40 ,ก2-53(1)-9/64,50100024125640,59,70.4,5301,เพียวพลาสติก,บางค้อ,64,,จอมทอง,127/7,กรุงเทพมหานคร,เพียวพลาสติก,2, 2 ,10150
ทำผลิตภัณฑ์ของใช้พลาสติก เช่น ขา หูจับหม้อข้าว และอุปกรณ์ไฟฟ้า,3,พระรามที่ 2, 2.00 ,ก2-53(1)-10/64,50100024225648,60,70.8,5301,ห้างหุ้นส่วนจำกัด สยามแวร์,บางมด,64,จันทร์พริ้ง,จอมทอง,26/27-28,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด สยามแวร์,2, 15 ,10150
ทำผลิตภัณฑ์พลาสติก,,, 1.65 ,ก2-53(1)-12/64,50100024425644,61,67.48,5301,-,บางมด,64,พระรามที่2ซอย3แยก2,จอมทอง,87,กรุงเทพมหานคร,นนทวัฒน์ ธีรธารทิพย์,2, 2 ,10150
การผลิตผลิตภัณฑ์พลาสติก,3,เอกชัย, 12.04 ,ก2-53(1)-6/63,50100295625633,62,74.99,5301,บริษัท ไมครอนโปรโมชั่น จำกัด,บางขุนเทียน,63,กำนันแม้น 18,จอมทอง,125/126,กรุงเทพมหานคร,บริษัท ไมครอนโปรโมชั่น จำกัด,2, 47 ,10150
ทำของใช้จากพลาสติก,10,พระราม 2, 2.00 ,2-53(1)-41/44,10100204125443,63,62.0,5301,วี.พลาส,จอมทอง,44,-,จอมทอง,20/520-521,กรุงเทพมหานคร,วี.พลาส,2, 5 ,10150
ทำถุงพลาสติก,,จอมทอง, 0.50 ,ก2-53(4)-5/64,50100024725647,64,64.15,5304,ห้างหุ้นส่วนจำกัด เอช.คิว.พี.,บางค้อ,64,ภาณุมาภรณ์,จอมทอง,4/2,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด เอช.คิว.พี.,2, 2 ,10150
ทำแบบพิมพ์โลหะ,2,เอกชัย, 0.05 ,2-64(9)-83/26,10100008325264,65,57.5,6409,,บางขุนเทียน,26,,จอมทอง,112/102,กรุงเทพมหานคร,นายพรชัย ตั้งจิตรเจริญ,2, 2 ,10150
ทำแบบพิมพ์โลหะ,,จอมทอง, 2.02 ,ก2-64(9)-8/64,50100025825644,66,55.5,6409,รุ่งศิลป์การช่าง,บางค้อ,64,จอมทอง 8,จอมทอง,120/62-63,กรุงเทพมหานคร,รุ่งศิลป์การช่าง,2, 5 ,10150
กลึง กัด เจาะ ไส เชื่อมโลหะ และซ่อมเครื่องจักร,3,สุขสวัสดิ์, 1.40 ,ก2-64(13)-19/64,50100025425643,67,71.5,6413,ไทยวิจิตรการช่าง,จอมทอง,64,สุขสวัสดิ์ 2,จอมทอง,"386,386/1-3",กรุงเทพมหานคร,ไทยวิจิตรการช่าง,2, 12 ,10150
กลึงโลหะ,2,พระรามที่ 2, 2.40 ,ก2-64(13)-17/64,50100025225647,68,52.0,6413,อุทิศการช่าง,บางมด,64,พระรามที่ 2 ซอย     11,จอมทอง,44/112-113,กรุงเทพมหานคร,อุทิศการช่าง,2, 7 ,10150
เจาะ เจียร เชื่อมโลหะต่าง ๆ,,วุฒากาศ, 1.60 ,ก2-64(13)-18/64,50100025325645,69,51.0,6413,บริษัท เกรด เอ รับเบอร์ จำกัด,บางค้อ,64,ชัยวัฒน์,จอมทอง,111/10,กรุงเทพมหานคร,บริษัท เกรด เอ รับเบอร์ จำกัด,2, 2 ,10150
ทำแบบพิมพ์โลหะสำหรับอัดพลาสติก ,,จอมทอง, 0.60 ,ก2-67(8)-6/64,50100026125648,70,56.08,6708,-,บางค้อ,64,เลิศพัฒนาเหนือ,จอมทอง,54/49-52,กรุงเทพมหานคร,นายธนภัทร โอวาทวัฒนกุล,2, 10 ,10150
ทำลูกกลิ้ง เครื่องทำลอนกระดาษลูกฟูก และประกอบเครื่องพิมพ์กล่องกระดาษลูกฟูก รับจ้างทำ ซื้อ ขาย สินค้ากล่องกระดาษทุกชนิด,4,สุขสวัสดิ์, 12.50 ,ก2-68-1/64,50100026225646,71,73.4,6800,บริษัท ส. ฉัตรทอง ( 2003) จำกัด,จอมทอง,64,สุขสวัสดิ์2,จอมทอง,42/2,กรุงเทพมหานคร,บริษัท ส. ฉัตรทอง ( 2003) จำกัด,2, 17 ,10150
"ประกอบปั๊มน้ำ, ทำชิ้นส่วนเครื่องปั๊มน้ำและทำเครื่องตวงน้ำมันขนาด 5 ลิตร ชนิดหลอดแก้ว",,, 1.10 ,ก2-70-3/64,50100026425642,72,59.75,7000,วันชัยโลหะกิจ,บางมด,64,พระรามที่ 2 ซอย 23,จอมทอง,130,กรุงเทพมหานคร,วันชัยโลหะกิจ,2, 9 ,10150
ทำอุปกรณ์ไฟฟ้า เช่น เม็ดทองขาว,1,จอมทอง, 5.00 ,ก2-71-6/64,50100026525649,73,50.5,7100,เซนยู,จอมทอง,64,จอมทอง 7,จอมทอง,43/66,กรุงเทพมหานคร,เซนยู,2, 8 ,10150
ทำใบพัดเรือหางยาว,1,จอมทอง, 1.05 ,ก2-75(2)-3/64,50100026825643,74,56.4,7502,พลังกลป์ใบจักร,จอมทอง,64,เลิศพัฒนาใต้,จอมทอง,71/83,กรุงเทพมหานคร,พลังกลป์ใบจักร,2, 5 ,10150
ผลิตซิป,4,สุขสวัสดิ์, 4.30 ,ก2-87(4)-2/64,50100027225645,75,60.65,8704,วีระพันธ์,จอมทอง,64,สุขสวัสดิ์ 2,จอมทอง,61/6,กรุงเทพมหานคร,วีระพันธ์,2, 14 ,10150
