ที่มา,ป้ายแดงจดทะเบียนใหม่,_id,ปี,สะสมจดทะเบียน,รายการ,หน่วย
สำนักงานขนส่งจังหวัดเชียงราย,35,1,2562,"1,881",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,37,2,2563,"1,413",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,14,3,2564,"1,521",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,14,4,2565,"1,401",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,31,5,2566,"1,320",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,31,6,2567,"1,320",รถโดยสารสาธารณะ ,คัน
สำนักงานขนส่งจังหวัดเชียงราย,10,7,2568,"1,187",รถโดยสารสาธารณะ ,คัน
