มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,รวม,รายการ,จังหวัด,หน่วย
4,180,1,2565,2,186,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กระบี่,ราย
,,2,2565,,0,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กรุงเทพมหานคร,ราย
26,290,3,2565,8,324,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาญจนบุรี,ราย
2,247,4,2565,1,250,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาฬสินธุ์,ราย
8,444,5,2565,11,463,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กำแพงเพชร,ราย
30,509,6,2565,19,558,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ขอนแก่น,ราย
13,150,7,2565,8,171,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,จันทบุรี,ราย
42,248,8,2565,38,328,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ฉะเชิงเทรา,ราย
181,286,9,2565,117,584,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชลบุรี,ราย
4,223,10,2565,1,228,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยนาท,ราย
11,391,11,2565,8,410,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยภูมิ,ราย
7,154,12,2565,5,166,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชุมพร,ราย
40,333,13,2565,12,385,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงราย,ราย
326,760,14,2565,79,"1,165",ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงใหม่,ราย
7,331,15,2565,8,346,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตรัง,ราย
5,156,16,2565,4,165,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตราด,ราย
9,124,17,2565,2,135,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตาก,ราย
19,74,18,2565,9,102,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครนายก,ราย
80,257,19,2565,33,370,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครปฐม,ราย
5,115,20,2565,0,120,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครพนม,ราย
41,338,21,2565,44,423,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครราชสีมา,ราย
17,389,22,2565,5,411,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครศรีธรรมราช,ราย
16,355,23,2565,16,387,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครสวรรค์,ราย
216,312,24,2565,85,613,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นนทบุรี,ราย
6,114,25,2565,1,121,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นราธิวาส,ราย
5,243,26,2565,5,253,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,น่าน,ราย
1,79,27,2565,1,81,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บึงกาฬ,ราย
9,303,28,2565,5,317,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บุรีรัมย์,ราย
