รายการ,_id,ปี,เนื้อที่ (ไร่)
ข้าวโพดเลี้ยงสัตว์,1,2565,149700
ข้าวโพดเลี้ยงสัตว์(เมล็ดพันธ์),2,2565,8350
ข้าวโพดเลี้ยงสัตว์,3,2566,126746
ข้าวโพดเลี้ยงสัตว์(เมล็ดพันธ์),4,2566,5580
ข้าวโพดเลี้ยงสัตว์,5,2567,129818
ข้าวโพดเลี้ยงสัตว์(เมล็ดพันธ์),6,2567,3206
