_id,ปี,พันธุ์ข้าว,มาตรฐาน,ราคาตลาด (บาท/ตัน),ผู้รับซื้อ,ผลผลิต,ราคาประกัน (บาท/ตัน)
1,2564,ขาวดอกมะลิ 105,อินทรีย์/GAP,10687,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,13000
2,2564,กข6,อินทรีย์/GAP,9335,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,13000
3,2565,ขาวดอกมะลิ 105,อินทรีย์/GAP,13500,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,14700
4,2565,กข6,อินทรีย์/GAP,10020,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,11200
5,2566,ขาวดอกมะลิ 105,อินทรีย์/GAP,14500,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,15700
6,2566,กข6,อินทรีย์/GAP,13169,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,14300
7,2567,ขาวดอกมะลิ 105,อินทรีย์/GAP,15500,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,16700
8,2567,กข6,อินทรีย์/GAP,13755,กลุ่มผู้ผลิตข้าวอินทรีย์นาภู,ข้าวเปลือก,15000
