เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
สิงหาคม,51132,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
สิงหาคม,1744,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
สิงหาคม,22620,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
สิงหาคม,19,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
สิงหาคม,179,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
สิงหาคม,17,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
สิงหาคม,9,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
สิงหาคม,12,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
สิงหาคม,189229,9,2565,รย. 12 รถจักรยานยนต์,รถยนต์
สิงหาคม,6323,10,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
สิงหาคม,98,11,2565,รย. 14 รถบดถนน,รถยนต์
สิงหาคม,53,12,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
สิงหาคม,92,13,2565,รย. 16 รถพ่วง,รถยนต์
สิงหาคม,126,14,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
สิงหาคม,129,15,2565,รถโดยสารประจำทาง,รถขนส่ง
สิงหาคม,267,16,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
สิงหาคม,52,17,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
สิงหาคม,3384,18,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
สิงหาคม,3887,19,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
