Province,Dataset_name,Item,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,มันสำปะหลัง กินสด,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,1,2215.01,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,2,2099,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,ผลผลิต,ตัน,เกษตรและประมง,3,6255,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,4,2980,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,5,937.11,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,6,797.57,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,ผลผลิต,ตัน,เกษตรและประมง,7," 1,985",2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,8,2489,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,9,28.75,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,10,28.75,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,ผลผลิต,ตัน,เกษตรและประมง,11,83,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,12,2897,2565,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,13,2215,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,14,1501,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,ผลผลิต,ตัน,เกษตรและประมง,15,3695,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,มันสำปะหลัง กินสด,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,16,2462,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,17,937,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,18,790,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,ผลผลิต,ตัน,เกษตรและประมง,19,1815,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,อ้อยเคี้ยว,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,20,2298,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,เนื้อที่เพาะปลูก,ไร่,เกษตรและประมง,21,29,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,เนื้อที่เก็บเกี่ยว,ไร่,เกษตรและประมง,22,29,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,ผลผลิต,ตัน,เกษตรและประมง,23,37,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,เผือก,ผลผลิตเฉลี่ยต่อไร่,กิโลกรัม,เกษตรและประมง,24,1265,2566,สำนักงานเกษตรจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
