_id,ปี,เดือน,หน่วย,ปริมาณผลผลิตอ้อย
1,2568,มกราคม,ตัน," 723,722.00 "
2,2568,กุมภาพันธ์,ตัน," 1,744,456.00 "
3,2568,มีนาคม,ตัน," 1,020,618.00 "
4,2568,เมษายน,ตัน, -   
5,2568,พฤษภาคม,ตัน, -   
6,2568,มิถุนายน,ตัน, -   
7,2568,กรกฎาคม,ตัน, -   
8,2568,สิงหาคม,ตัน, -   
9,2568,กันยายน,ตัน, -   
10,2568,ตุลาคม,ตัน, -   
11,2568,พฤศจิกายน,ตัน, -   
12,2568,ธันวาคม,ตัน," 987,632.00 "
