จำนวน,ประเภท,หมวด,_id,สถานะ,ปี พ.ศ.,ไตรมาส,หน่วย
"253,209",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,1,ผู้มีงานทำ,2564,ไตรมาสที่ 1,คน
"3,280",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,2,ผู้ว่างงาน,2564,ไตรมาสที่ 1,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,3,-,2564,ไตรมาสที่ 1,คน
"22,873",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,4,-,2564,ไตรมาสที่ 1,คน
"21,357",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,5,-,2564,ไตรมาสที่ 1,คน
"56,237",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,6,-,2564,ไตรมาสที่ 1,คน
"250,175",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,7,ผู้มีงานทำ,2564,ไตรมาสที่ 2,คน
"3,179",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,8,ผู้ว่างงาน,2564,ไตรมาสที่ 2,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,9,-,2564,ไตรมาสที่ 2,คน
"25,381",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,10,-,2564,ไตรมาสที่ 2,คน
"23,153",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,11,-,2564,ไตรมาสที่ 2,คน
"55,022",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,12,-,2564,ไตรมาสที่ 2,คน
"252,415",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,13,ผู้มีงานทำ,2564,ไตรมาสที่ 3,คน
"3,524",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,14,ผู้ว่างงาน,2564,ไตรมาสที่ 3,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,15,-,2564,ไตรมาสที่ 3,คน
"22,284",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,16,-,2564,ไตรมาสที่ 3,คน
"24,338",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,17,-,2564,ไตรมาสที่ 3,คน
"54,269",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,18,-,2564,ไตรมาสที่ 3,คน
"251,613",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,19,ผู้มีงานทำ,2564,ไตรมาสที่ 4,คน
"1,757",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,20,ผู้ว่างงาน,2564,ไตรมาสที่ 4,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,21,-,2564,ไตรมาสที่ 4,คน
"23,867",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,22,-,2564,ไตรมาสที่ 4,คน
"23,102",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,23,-,2564,ไตรมาสที่ 4,คน
"56,351",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,24,-,2564,ไตรมาสที่ 4,คน
"227,452",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,25,ผู้มีงานทำ,2565,ไตรมาสที่ 1,คน
