โรงงาน,ประเภท,ที่มา,_id,ปี,รายการข้อมูล
บริษัท อุบลไบโอเอทานอล จำกัด,โรงงานเอทานอล ,สำนักงานเกษตรจังหวัดอุบลราชธานี,1,2565,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท อุบลซันฟลาวเวอร์จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,2,2565,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท เอี่ยมอุบล จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,3,2565,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท แป้งมันเอี่ยมอีสานอุตสาหกรรม จำกัด, โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,4,2565,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท อุบลไบโอเอทานอล จำกัด,โรงงานเอทานอล ,สำนักงานเกษตรจังหวัดอุบลราชธานี,5,2566,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท อุบลซันฟลาวเวอร์จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,6,2566,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท เอี่ยมอุบล จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,7,2566,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท แป้งมันเอี่ยมอีสานอุตสาหกรรม จำกัด, โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,8,2566,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท อุบลไบโอเอทานอล จำกัด,โรงงานเอทานอล ,สำนักงานเกษตรจังหวัดอุบลราชธานี,9,2567,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท อุบลซันฟลาวเวอร์จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,10,2567,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท เอี่ยมอุบล จำกัด , โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,11,2567,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
บริษัท แป้งมันเอี่ยมอีสานอุตสาหกรรม จำกัด, โรงแป้ง ,สำนักงานเกษตรจังหวัดอุบลราชธานี,12,2567,โรงงานแปรูรูปผลิตภัณฑ์มันสำปะหลัง
