มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
192.77,518,1,2560,5530,34.86,11236
101.43,353,2,2561,2971,34.14,8987
135.29,464,3,2562,3443,30,8297
116.23,540,4,2563,4056,28.66,7530
122.1,504,5,2564,3405,35.86,6771
