จำนวน,_id,ปี,จำแนก,ราบการข้อมูล,หน่วย
37.9,1,2566,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
62.1,2,2566,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
37.3,3,2566,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
62.7,4,2566,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
37.5,5,2566,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
62.5,6,2566,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
49.3,7,2566,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 4,ร้อยละ
50.7,8,2566,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 4,ร้อยละ
60.3,9,2567,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
39.7,10,2567,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
63.6,11,2567,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
36.4,12,2567,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
61.4,13,2567,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
38.6,14,2567,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
61.1,15,2567,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 4,ร้อยละ
38.9,16,2567,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 4,ร้อยละ
62.6,17,2568,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
37.4,18,2568,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 1,ร้อยละ
65.5,19,2568,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
34.5,20,2568,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 2,ร้อยละ
67.4,21,2568,ผู้ทำงานเต็มเวลา 35 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
32.6,22,2568,ผู้ทำงานน้อยกว่า 1 ถึง 34 ชั่วโมงขึ้นไป,ชั่วโมงการทำงานต่อสัปดาห์ ไตรมาส 3,ร้อยละ
