ปริมาณน้ำทิ้ง (ลบ.ม.),_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ
0,1,3-2(1)-18/54พล,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง
0,2,3-2(1)-2/35พล,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด
1,3,3-2(1)-29/53พล,บริษัท ธนารัตน์ธัญญะกิจ จำกัด
0,4,จ3-2(1)-1/39พล,บริษัท มอนซานโต้ไทยแลนด์ จำกัด
0,5,จ3-2(1)-10/64พล,ห้างหุ้นส่วนจำกัด เกษตรมีแลนด์
0,6,จ3-2(1)-11/56พล,นางอินทธิรา ลี้ชัยมงคล
0,7,จ3-2(1)-11/62พล,นางอินทธิรา ลี้ชัยมงคล
0,8,จ3-2(1)-2/43พล,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด
0,9,จ3-2(1)-2/45พล,นางอมรพร มานะกิจศิริสุทธิ์
0,10,จ3-2(1)-3/41พล,บริษัท โรงสีเจริญพาณิชย์ จำกัด
0,11,จ3-2(1)-3/43พล,สหกรณ์การเกษตรพรหมพิราม จำกัด
0,12,จ3-2(1)-3/62พล,สหกรณ์การเกษตรพรหมพิราม จำกัด
0,13,จ3-2(1)-30/50พล,นายศุภรัตน์ ศักรนันท์
0,14,จ3-2(1)-31/61พล,นางสาวธนิยาภา สุทธิ
0,15,จ3-2(1)-39/52พล,นายธรรมนูญ ไกรเกตุ
0,16,จ3-2(1)-4/46พล,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ
0,17,จ3-2(1)-43/48พล,ศูนย์เมล็ดพันธุ์ข้าวพิษณุโลก
0,18,จ3-2(1)-43/60พล,ห้างหุ้นส่วนจำกัด บี.ที.เอส.อิมปอร์ต
0,19,จ3-2(1)-62/55พล,ห้างหุ้นส่วนจำกัด โชคสันติ
0,20,จ3-2(1)-64/55พล,บริษัท วิเศษพานิช ไซโล จำกัด
0,21,จ3-2(1)-7/56พล,นายเชาว์ ยาประเสริฐ
0,22,จ3-2(1)-7/57พล,นายเรวัฒ จินดารัตนวงศ์
0,23,จ3-2(1)-78/56พล,นางสาวสำเริง สีปาน
0,24,จ3-2(5)-1/45พล,นายธงชัย มนะเกษตรธาร
0,25,จ3-2(5)-10/51พล,นางพิมพ์ฉวี พัฒนพงษ์
