จำนวนผู้ว่างงาน,ที่มา,_id,ปี,หน่วย
"3,137",สำนักงานสถิติจังหวัดลพบุรี,1,2555,คน
"5,184",สำนักงานสถิติจังหวัดลพบุรี,2,2556,คน
"3,512",สำนักงานสถิติจังหวัดลพบุรี,3,2557,คน
"19,343",สำนักงานสถิติจังหวัดลพบุรี,4,2558,คน
"3,833",สำนักงานสถิติจังหวัดลพบุรี,5,2559,คน
"4,715",สำนักงานสถิติจังหวัดลพบุรี,6,2560,คน
"5,009",สำนักงานสถิติจังหวัดลพบุรี,7,2561,คน
"5,780",สำนักงานสถิติจังหวัดลพบุรี,8,2562,คน
"10,427",สำนักงานสถิติจังหวัดลพบุรี,9,2563,คน
"11,755",สำนักงานสถิติจังหวัดลพบุรี,10,2564,คน
"7,206",สำนักงานสถิติจังหวัดลพบุรี,11,2565,คน
"8,028",สำนักงานสถิติจังหวัดลพบุรี,12,2566,คน
" 5,121 ",สำนักงานสถิติจังหวัดลพบุรี,13,2567,คน
