เดือน,มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,หน่วย
ตุลาคม,,,1,2566,,คน
พฤษจิกายน,,,2,2566,,คน
ธันวาคม,5718,31989,3,2566,15285,คน
มกราคม,6921,46155,4,2567,17952,คน
กุมภาพันธ์,6786,46237,5,2567,18047,คน
มีนาคม,6721,46327,6,2567,17994,คน
เมษายน,6680,46581,7,2567,17912,คน
พฤษภาคม,5352,32250,8,2567,15545,คน
มิถุนายน,6462,46510,9,2567,18588,คน
กรกฎาคม,"7,206","46,545",10,2567,"18,588",คน
สิงหาคม,6419,46613,11,2567,18795,คน
กันยายน,6400,46651,12,2567,18700,คน
ตุลาคม,6352,46656,13,2567,18720,คน
พฤศจิกายน,6365,46626,14,2567,18140,คน
ธันวาคม,6397,46624,15,2567,18389,คน
มกราคม,5175,44249,16,2568,25200,คน
กุมภาพันธ์,6279,44863,17,2568,18797,คน
มีนาคม,6730,44818,18,2568,24977,คน
เมษายน,6045,44804,19,2568,24546,คน
พฤษภาคม,5973,44842,20,2568,24415,คน
มิถุนายน,4843,44922,21,2568,24355,คน
