รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2561,คน,"2,629","12,737",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,2,2561,คน,"13,043","10,105",วิชาชีพด้านต่างๆ
รวม,3,2561,คน,"3,811","4,644",วิชาชีพด้านเทคนิค
รวม,4,2561,คน,"6,981","1,444",เสมียน
รวม,5,2561,คน,"51,872","33,396",พนักงานบริการ
รวม,6,2561,คน,"151,702","181,462",ด้านการเกษตรและประมง
รวม,7,2561,คน,"6,784","28,018",ด้านความสามารถทางฝีมือ
รวม,8,2561,คน,"15,668","18,254",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,9,2561,คน,"9,132","24,918",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,10,2561,คน,"1,518","9,808",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,11,2561,คน,"12,843","9,623",วิชาชีพด้านต่างๆ
แรงงานในระบบ,12,2561,คน,"3,185","4,644",วิชาชีพด้านเทคนิค
แรงงานในระบบ,13,2561,คน,"5,590","1,255",เสมียน
แรงงานในระบบ,14,2561,คน,"13,154","10,750",พนักงานบริการ
แรงงานในระบบ,15,2561,คน,536,"1,162",ด้านการเกษตรและประมง
แรงงานในระบบ,16,2561,คน,"1,183","8,208",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,17,2561,คน,"2,259","11,416",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,18,2561,คน,"3,773","8,629",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,19,2561,คน,"1,111","2,930",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,20,2561,คน,200,482,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,21,2561,คน,626,0,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,22,2561,คน,"1,391",189,เสมียน
แรงงานนอกระบบ,23,2561,คน,"38,718","22,646",พนักงานบริการ
แรงงานนอกระบบ,24,2561,คน,"151,166","180,300",ด้านการเกษตรและประมง
แรงงานนอกระบบ,25,2561,คน,"5,600","19,810",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,26,2561,คน,"13,409","6,838",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,27,2561,คน,"5,360","16,288",อาชีพพื้นฐานต่าง ๆ
