long,เงินทุนรวม,ประกอบกิจการ,อำเภอ,lat,ถนน,ซอย,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,ชื่อโรงงาน,แรงม้าตรวจพบ,คนงานหญิง
100.2117145,6095000,ทำเส้นหมี่อบแห้ง,เมืองพิษณุโลก,16.7874212,พิษณุโลก-บางระกำ,,32,พิษณุโลก,7,เลขที่ 153,1958.38,วัดจันทร์,ห้างหุ้นส่วนจำกัด เส้นหมี่เรืองสิน,2,1,โรงงานเรืองสิน,1958.38,30
100.25987,,ทำเส้นก๋วยเตี๋ยว,เมืองพิษณุโลก,16.80594,ศรีธรรมไตรปิฎก,,200000,พิษณุโลก,,เลขที่ 78/43,0,ในเมือง,นายวิชัย มัตยะสุวรรณ,2000000,2,วันชัย,2,1200000
100.185383,,ทำเส้นก๋วยเตี๋ยวและเส้นหมี่,เมืองพิษณุโลก,16.814916,บ้านหนองหัวยาง,,1000000,พิษณุโลก,7,เลขที่ 456,11,ท่าทอง,บริษัท หงษ์ทองคู่ จำกัด,10000000,3,บริษัท หงษ์ทองคู่ จำกัด,10,5000000
100.4355419,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,วังทอง,16.7131643,,,400000,พิษณุโลก,11,เลขที่ 444,7,หนองพระ,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,3200000,4,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,3,300000
100.3398671,4420000,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เมืองพิษณุโลก,16.8436417,,,11,พิษณุโลก,3,เลขที่ 221/1,316,สมอแข,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,8,5,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,316,3
100.1347695,16000000,บดเศษแก้วที่ไม่เป็นอันตราย,บางระกำ,16.8219969,,,20,พิษณุโลก,7,เลขที่ -,263,ท่านางงาม,บริษัท ขวดแก้วรีไซเคิล จำกัด,10,6,บริษัท ขวดแก้วรีไซเคิล จำกัด,263,10
100.3558471,1555000000,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 22,000 ตันอ้อย/วัน ",บางกระทุ่ม,16.5717492,สายสันติบรรเทิง-บางกระทุ่ม,,105,พิษณุโลก,8,เลขที่ 8/8,359906.36,ไผ่ล้อม,บริษัท น้ำตาลพิษณุโลก จำกัด,85,7,บริษัท น้ำตาลพิษณุโลก จำกัด,350633.86,20
100.135247,,ผลิตน้ำแข็งก้อนเล็กและน้ำแข็งซอง,บางระกำ,16.637068,,,2000000,พิษณุโลก,3,เลขที่ 199,14,บ่อทอง,บริษัท พิษณุโลกบ่อทอง จำกัด,3200000,8,บริษัท พิษณุโลกบ่อทอง จำกัด,6,20000000
100.4305526,,ทำน้ำแข็งก้อนเล็ก 135 ตัน/วัน,วังทอง,16.7765194,,,5000000,พิษณุโลก,6,เลขที่ 83,10,ดินทอง,บริษัท วารีเทพ วังทอง จำกัด,1240000,9,บริษัทท วารีเทพ วังทอง จำกัด,1,20629600
100.43489,,ผลิตน้ำแข็งซอง ได้ 720 ซอง/วัน และน้ำแข็งก้อนเล็ก ได้ 30 ตัน/วัน,วังทอง,16.81783,-,-,2000000,พิษณุโลก,1,เลขที่ 199,17,ดินทอง,บริษัท ไทยสมบูรณ์วังทอง จำกัด,4000000,10,บริษัท ไทยสมบูรณ์วังทอง จำกัด,0,27000000
,55000000,"ทำน้ำแข็งซองได้ 320 ซอง/วัน,ทำน้ำแข็งก้อนเล็กอนามัยได้วันละ 150 ตัน/วันและทำน้ำดื่ม",เมืองพิษณุโลก,,,,20,พิษณุโลก,5,เลขที่ 42/8,1168.86,วัดพริก,บริษัท คิงไอซ์ จำกัด,14,11,บริษัท คิงไอซ์ จำกัด,536.5,6
100.2093162,61000000,อบและนึ่งข้าวเปลือก,เมืองพิษณุโลก,16.8680699,สิงหวัฒน์,-,12,พิษณุโลก,1,เลขที่ 241/1,323,บ้านกร่าง,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,10,12,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,323,2
100.21969,,อบเมล็ดข้าวเปลือก และสีข้าวนึ่ง (กำลังสีสูงสุดของร้านสีข้าว 185 เกวียน/วัน),เมืองพิษณุโลก,16.85252,สิงหวัฒน์,,7000000,พิษณุโลก,3,เลขที่ 161/1,11,พลายชุมพล,บริษัท โรงสีไฟสิงหวัฒน์ จำกัด,7725000,13,โรงสีไฟสิงหวัฒน์,0,7000000
