จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
38576,1,2559,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ,ชาย,1,ชลบุรี
31388,2,2559,ผู้ประกอบวิชาชีพด้านต่าง ๆ,ชาย,1,ชลบุรี
25308,3,2559,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,ชาย,1,ชลบุรี
16215,4,2559,เสมียน,ชาย,1,ชลบุรี
119066,5,2559,พนักงานบริการและพนักงานในร้านค้าและตลาด,ชาย,1,ชลบุรี
40035,6,2559,ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรและการประมง,ชาย,1,ชลบุรี
80883,7,2559,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,ชาย,1,ชลบุรี
184590,8,2559,ผู้ปฏิบัติการโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,ชาย,1,ชลบุรี
38055,9,2559,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ,ชาย,1,ชลบุรี
0,10,2559,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,ชาย,1,ชลบุรี
13828,11,2559,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ,หญิง,1,ชลบุรี
32540,12,2559,ผู้ประกอบวิชาชีพด้านต่าง ๆ,หญิง,1,ชลบุรี
39383,13,2559,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,หญิง,1,ชลบุรี
31147,14,2559,เสมียน,หญิง,1,ชลบุรี
166089,15,2559,พนักงานบริการและพนักงานในร้านค้าและตลาด,หญิง,1,ชลบุรี
14840,16,2559,ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรและการประมง,หญิง,1,ชลบุรี
25557,17,2559,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,หญิง,1,ชลบุรี
102752,18,2559,ผู้ปฏิบัติการโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,หญิง,1,ชลบุรี
46955,19,2559,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ,หญิง,1,ชลบุรี
0,20,2559,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,หญิง,1,ชลบุรี
30910,21,2559,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ,ชาย,2,ชลบุรี
28786,22,2559,ผู้ประกอบวิชาชีพด้านต่าง ๆ,ชาย,2,ชลบุรี
26206,23,2559,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง,ชาย,2,ชลบุรี
12083,24,2559,เสมียน,ชาย,2,ชลบุรี
115985,25,2559,พนักงานบริการและพนักงานในร้านค้าและตลาด,ชาย,2,ชลบุรี
37026,26,2559,ผู้ปฏิบัติงานที่มีฝีมือด้านการเกษตรและการประมง,ชาย,2,ชลบุรี
86624,27,2559,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง,ชาย,2,ชลบุรี
188239,28,2559,ผู้ปฏิบัติการโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,ชาย,2,ชลบุรี
40079,29,2559,อาชีพขั้นพื้นฐานต่าง ๆ ในด้านการขายและการให้บริการ,ชาย,2,ชลบุรี
0,30,2559,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,ชาย,2,ชลบุรี
13026,31,2559,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ,หญิง,2,ชลบุรี
29225,32,2559,ผู้ประกอบวิชาชีพด้านต่าง ๆ,หญิง,2,ชลบุรี
