จำนวน,ที่มา,ชนิดพืช,_id,ปี,หน่วย
" 6,041.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะม่วง,45,2565, ครัวเรือน 
" 5,574.00 ",สำนักงานเกษตจังหวัดอ่างทอง,กล้วยน้ำว้า,46,2565, ครัวเรือน 
 952.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะพร้าว,47,2565, ครัวเรือน 
" 1,076.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะนาว,48,2565, ครัวเรือน 
 624.00 ,สำนักงานเกษตจังหวัดอ่างทอง,อ้อยโรงงาน,49,2565, ครัวเรือน 
 658.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ข่า,50,2565, ครัวเรือน 
 646.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ชะอม,51,2565, ครัวเรือน 
 845.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะกรูด,52,2565, ครัวเรือน 
 614.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ตะไคร้,53,2565, ครัวเรือน 
 704.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กะเพรา,54,2565, ครัวเรือน 
 497.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กล้วยหอม,55,2565, ครัวเรือน 
" 6,929.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะม่วง,56,2566, ครัวเรือน 
" 4,742.00 ",สำนักงานเกษตจังหวัดอ่างทอง,กล้วยน้ำว้า,57,2566, ครัวเรือน 
 955.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะพร้าว,58,2566, ครัวเรือน 
" 1,256.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะนาว,59,2566, ครัวเรือน 
 705.00 ,สำนักงานเกษตจังหวัดอ่างทอง,อ้อยโรงงาน,60,2566, ครัวเรือน 
 592.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ข่า,61,2566, ครัวเรือน 
 655.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ชะอม,62,2566, ครัวเรือน 
 971.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะกรูด,63,2566, ครัวเรือน 
 606.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ตะไคร้,64,2566, ครัวเรือน 
 579.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กะเพรา,65,2566, ครัวเรือน 
 474.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กล้วยหอม,66,2566, ครัวเรือน 
" 6,916.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะม่วง,67,2567, ครัวเรือน 
" 4,706.00 ",สำนักงานเกษตจังหวัดอ่างทอง,กล้วยน้ำว้า,68,2567, ครัวเรือน 
 958.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะพร้าว,69,2567, ครัวเรือน 
" 1,244.00 ",สำนักงานเกษตจังหวัดอ่างทอง,มะนาว,70,2567, ครัวเรือน 
 685.00 ,สำนักงานเกษตจังหวัดอ่างทอง,อ้อยโรงงาน,71,2567, ครัวเรือน 
 593.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ข่า,72,2567, ครัวเรือน 
 630.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ชะอม,73,2567, ครัวเรือน 
 987.00 ,สำนักงานเกษตจังหวัดอ่างทอง,มะกรูด,74,2567, ครัวเรือน 
 575.00 ,สำนักงานเกษตจังหวัดอ่างทอง,ตะไคร้,75,2567, ครัวเรือน 
 490.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กะเพรา,76,2567, ครัวเรือน 
 444.00 ,สำนักงานเกษตจังหวัดอ่างทอง,กล้วยหอม,77,2567, ครัวเรือน 
