รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2562,คน,"3,356","14,603",ผู้บัญญัติกฎหมายและผู้จัดการ
รวม,2,2562,คน,"14,914","11,021",วิชาชีพด้านต่างๆ
รวม,3,2562,คน,"3,123","4,655",วิชาชีพด้านเทคนิค
รวม,4,2562,คน,"8,878","2,299",เสมียน
รวม,5,2562,คน,"52,527","29,627",พนักงานบริการ
รวม,6,2562,คน,"137,240","177,723",ด้านการเกษตรและประมง
รวม,7,2562,คน,"6,808","28,010",ด้านความสามารถทางฝีมือ
รวม,8,2562,คน,"10,008","13,659",ผู้ปฏิบัติงานโรงงานเครื่องจักร
รวม,9,2562,คน,"9,936","12,874",อาชีพพื้นฐานต่าง ๆ
แรงงานในระบบ,10,2562,คน,"2,876","12,358",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานในระบบ,11,2562,คน,"14,685","10,109",วิชาชีพด้านต่างๆ
แรงงานในระบบ,12,2562,คน,"2,732","4,261",วิชาชีพด้านเทคนิค
แรงงานในระบบ,13,2562,คน,"8,702","1,757",เสมียน
แรงงานในระบบ,14,2562,คน,"19,258","10,764",พนักงานบริการ
แรงงานในระบบ,15,2562,คน,"2,144","2,526",ด้านการเกษตรและประมง
แรงงานในระบบ,16,2562,คน,"2,047","10,963",ด้านความสามารถทางฝีมือ
แรงงานในระบบ,17,2562,คน,676,"8,042",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานในระบบ,18,2562,คน,"4,355","6,380",อาชีพพื้นฐานต่าง ๆ
แรงงานนอกระบบ,19,2562,คน,480,"2,246",ผู้บัญญัติกฎหมายและผู้จัดการ
แรงงานนอกระบบ,20,2562,คน,230,912,วิชาชีพด้านต่างๆ
แรงงานนอกระบบ,21,2562,คน,392,394,วิชาชีพด้านเทคนิค
แรงงานนอกระบบ,22,2562,คน,176,543,เสมียน
แรงงานนอกระบบ,23,2562,คน,"33,270","18,864",พนักงานบริการ
แรงงานนอกระบบ,24,2562,คน,"135,096","175,197",ด้านการเกษตรและประมง
แรงงานนอกระบบ,25,2562,คน,"4,761","17,047",ด้านความสามารถทางฝีมือ
แรงงานนอกระบบ,26,2562,คน,"9,331","5,617",ผู้ปฏิบัติงานโรงงานเครื่องจักร
แรงงานนอกระบบ,27,2562,คน,"5,581","6,494",อาชีพพื้นฐานต่าง ๆ
