2561,_id,2564,2567,2566,2563,2565,รายการ,2562,2568
152,1,83,85,83,85,82,1.ผลิตภัณฑ์จากพืช,84,85
49,2,58,64,62,51,61,2.อุตสาหกรรมอาหาร,45,64
5,3,3,4,4,3,4,3.อุตสาหกรรมเครื่องดื่ม,3,4
14,4,7,12,9,5,8,4.สิ่งทอ,5,16
1,5, -   , -   , -   , -   , - ,5.อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า, -   ,-
1,6,1,1,1,1,1,6.ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,1,1
49,7,30,33,31,28,31,7.แปรรูปไม้และผลิตภัณฑ์จากไม้,28,34
12,8,2,2,2,2,2,8.เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,2,2
 -   ,9, -   , -   , -   , -   , - ,9.ผลิตกระดาษและผลิตภัณฑ์กระดาษ, -   ,-
1,10,1,1,1,1,1,10.การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,1,1
11,11,8,8,8,8,8,11.เคมีภัณฑ์และผลิตภัณฑ์เคมี,8,8
11,12,18,20,21,13,19,12.ผลิตภัณฑ์จากปิโตรเลียม,13,20
7,13,3,3,3,4,3,13.ยางและผลิตภัณฑ์ยาง,4,3
23,14,15,17,17,16,16,14.ผลิตภัณฑ์พลาสติก,14,16
87,15,58,60,63,51,60,15.ผลิตภัณฑ์อโลหะ,50,62
 -   ,16, -   , -   , -   , -   , - ,16.ผลิตโลหะขั้นมูลฐาน, -   ,-
48,17,27,23,24,25,25,17.ผลิตภัณฑ์โลหะ,27,23
18,18,1,2,2,1,2,18.ผลิตเครื่องจักรและเครื่องกล,1,2
1,19,1,1,1,1,1,19.ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,1,1
63,20,23,20,20,24,21,20.อุตสาหกรรมผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,18,19
52,21,55,56,54,52,55,21.ผลิตอื่นฯ,52,60
,22,,,,,,,,
,23,,,,,,ข้อมูลปี 2567 ณ วันที่ 11 ธันวาคม 2568,,
