วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2570-08-10T00:00:00,1,GI(E) 3-002,บริษัท สยามโตโยต้าอุตสาหกรรม จำกัด,1,2567-09-10T00:00:00,ชลบุรี
2570-10-10T00:00:00,2,GI(E) 3-020,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด (มหาชน),2,2567-11-10T00:00:00,ชลบุรี
2570-10-10T00:00:00,3,GI(E) 3-024,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,3,2567-11-10T00:00:00,ชลบุรี
2570-10-10T00:00:00,4,GI(E) 3-028,บริษัท มิโตะ โคเกียว (ประเทศไทย) จำกัด,4,2567-11-10T00:00:00,ชลบุรี
2570-10-17T00:00:00,5,GI(E) 3-056,บริษัท ไทยซิลิเกตเคมิคัล จำกัด,5,2567-10-18T00:00:00,ชลบุรี
2570-10-17T00:00:00,6,GI(E) 3-063,บริษัท น้ำมันอพอลโล (ไทย) จำกัด,6,2567-10-18T00:00:00,ชลบุรี
2570-10-20T00:00:00,7,GI(E) 3-072,บริษัท คิชิโมโต อินดัสตรี (ประเทศไทย) จำกัด,7,2567-10-21T00:00:00,ชลบุรี
2570-10-20T00:00:00,8,GI(E) 3-080,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),8,2567-10-21T00:00:00,ชลบุรี
2570-10-24T00:00:00,9,GI(E) 3-086,บริษัท เชอร์รี่ เสรีนา จำกัด,9,2567-10-25T00:00:00,ชลบุรี
2570-10-24T00:00:00,10,GI(E) 3-090,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด,10,2567-10-25T00:00:00,ชลบุรี
2570-10-27T00:00:00,11,GI(E) 3-100,บริษัท ไทยโตเคน เทอร์โม จำกัด,11,2567-10-28T00:00:00,ชลบุรี
2570-10-27T00:00:00,12,GI(E) 3-101,บริษัท ไทยโตเคน เทอร์โม จำกัด,12,2567-10-28T00:00:00,ชลบุรี
2570-10-27T00:00:00,13,GI(E) 3-104,บริษัท ศรีราชา แพ็คกิ้ง วู้ด (2013) จำกัด,13,2567-10-28T00:00:00,ชลบุรี
2570-11-11T00:00:00,14,GI(E) 3-131,บริษัท ดับบลิวพี เอ็นเนอร์ยี่ จำกัด (มหาชน),14,2567-12-11T00:00:00,ชลบุรี
2570-11-11T00:00:00,15,GI(E) 3-133,บริษัท ดับบลิวพี เอ็นเนอร์ยี่ จำกัด (มหาชน),15,2567-12-11T00:00:00,ชลบุรี
2570-11-11T00:00:00,16,GI(E) 3-137,บริษัท ซากากุชิ (ประเทศไทย) จำกัด,16,2567-12-11T00:00:00,ชลบุรี
2570-11-11T00:00:00,17,GI(E) 3-154,บริษัท เอสซีลอร์ ออพติคอล แลบอราทอรี (ประเทศไทย) จำกัด,17,2567-12-11T00:00:00,ชลบุรี
2570-11-20T00:00:00,18,GI(E) 3-183,บริษัท เฉลิมชัยอุตสาหกรรม จำกัด,18,2567-11-21T00:00:00,ชลบุรี
2570-11-20T00:00:00,19,GI(E) 3-185,บริษัท โมริโรคุ เทคโนโลยี (ประเทศไทย) จำกัด,19,2567-11-21T00:00:00,ชลบุรี
2570-11-24T00:00:00,20,GI(E) 3-189,บริษัท ไทยพาราไซลีน จำกัด,20,2567-11-25T00:00:00,ชลบุรี
2570-11-26T00:00:00,21,GI(E) 3-198,บริษัท มอลเทน (ไทยแลนด์) จำกัด,21,2567-11-27T00:00:00,ชลบุรี
2570-11-28T00:00:00,22,GI(E) 3-202,บริษัท โอเอ็มเอส ออยล์ฟิลด์ เซอร์วิสซิส (ประเทศไทย) จำกัด,22,2567-11-29T00:00:00,ชลบุรี
2570-02-12T00:00:00,23,GI(E) 3-208,บริษัท ท็อป เอสพีพี จำกัด,23,2567-03-12T00:00:00,ชลบุรี
2570-02-12T00:00:00,24,GI(E) 3-209,บริษัท ไทยลู้บเบส จำกัด (มหาชน),24,2567-03-12T00:00:00,ชลบุรี
2570-02-12T00:00:00,25,GI(E) 3-211,บริษัท ซิง ต๋า สตีล คอร์ด (ไทยแลนด์) จำกัด,25,2567-03-12T00:00:00,ชลบุรี
2570-02-12T00:00:00,26,GI(E) 3-212,บริษัท บริดจสโตน เเอร์คราฟท์ ไทร์ เเมนูเเฟคเจอริ่ง (ประเทศไทย) จำกัด,26,2567-03-12T00:00:00,ชลบุรี
2570-03-12T00:00:00,27,GI(E) 3-214,บริษัท ซีแอลเอ็นจิเนียริ่ง จำกัด,27,2567-04-12T00:00:00,ชลบุรี
2570-03-12T00:00:00,28,GI(E) 3-217,บริษัท ฉาง โฮริ่ง รับเบอร์ (ไทยแลนด์) จำกัด,28,2567-04-12T00:00:00,ชลบุรี
2570-05-12T00:00:00,29,GI(E) 3-218,บริษัท ไทยซัมมิท แหลมฉบัง โอโตพาร์ท จำกัด,29,2567-06-12T00:00:00,ชลบุรี
2570-05-12T00:00:00,30,GI(E) 3-223,บริษัท แวนเทค เอ็ม.เอฟ จำกัด,30,2567-06-12T00:00:00,ชลบุรี
2570-10-12T00:00:00,31,GI(E) 3-226,บริษัท ไทยอาซาฮี คาเซอิ สแปนเด็กซ์ จำกัด,31,2567-11-12T00:00:00,ชลบุรี
2570-11-12T00:00:00,32,GI(E) 3-229,บริษัท โทปี้ ฟาสท์เนอร์ส (ประเทศไทย) จำกัด,32,2567-12-12T00:00:00,ชลบุรี
2570-11-12T00:00:00,33,GI(E) 3-232,บริษัท ไอเอชไอ เทอร์โบ (ประเทศไทย) จำกัด,33,2567-12-12T00:00:00,ชลบุรี
2570-12-19T00:00:00,34,GI(E) 3-238,บริษัท ซูมิโทรนิคส์ (ไทยแลนด์) จำกัด,34,2567-12-20T00:00:00,ชลบุรี
2570-12-19T00:00:00,35,GI(E) 3-241,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,35,2567-12-20T00:00:00,ชลบุรี
2571-05-01T00:00:00,36,GI(E) 3-264,บริษัท บอนกาแฟ (ประเทศไทย) จำกัด,36,2568-06-01T00:00:00,ชลบุรี
2571-07-01T00:00:00,37,GI(E) 3-280,บริษัท ยูไนเต็ดคอยล์เซ็นเตอร์ จำกัด,37,2568-08-01T00:00:00,ชลบุรี
2571-08-01T00:00:00,38,GI(E) 3-285,บริษัท คูโบต้า พรีซิชั่น แมชชีนเนอรี่ (ประเทศไทย) จำกัด,38,2568-09-01T00:00:00,ชลบุรี
2571-01-14T00:00:00,39,GI(E) 3-293,บริษัท ไทยซัมมิท พีเคเค บางปะกง จำกัด,39,2568-01-15T00:00:00,ชลบุรี
2571-01-14T00:00:00,40,GI(E) 3-294,บริษัท ไทย เซ็มคอน จำกัด,40,2568-01-15T00:00:00,ชลบุรี
2571-01-19T00:00:00,41,GI(E) 3-318,บริษัท ทีพีซีเอส จำกัด (มหาชน),41,2568-01-20T00:00:00,ชลบุรี
2571-01-19T00:00:00,42,GI(E) 3-319,บริษัท ทีพีซีเอส จำกัด (มหาชน),42,2568-01-20T00:00:00,ชลบุรี
2571-01-19T00:00:00,43,GI(E) 3-324,บริษัท เกาสุแพคกิ้ง (ศรีราชา) อินดัสตรี้ จำกัด,43,2568-01-20T00:00:00,ชลบุรี
2571-01-27T00:00:00,44,GI(E) 3-330,บริษัท ไทยรุ่งเรือง โฟม จำกัด,44,2568-01-28T00:00:00,ชลบุรี
2571-01-27T00:00:00,45,GI(E) 3-334,บริษัท ทีดับเบิ้ลยู แพ็คเกจจิ้ง จำกัด,45,2568-01-28T00:00:00,ชลบุรี
2571-01-27T00:00:00,46,GI(E) 3-339,บริษัท มีคยอง อีเล็คทรอนิคส์ (ไทยแลนด์) จำกัด,46,2568-01-28T00:00:00,ชลบุรี
2571-01-27T00:00:00,47,GI(E) 3-342,บริษัท ไอโฟน คอมมิวนิเคชั่น (ไทยแลนด์) จำกัด,47,2568-01-28T00:00:00,ชลบุรี
2571-01-27T00:00:00,48,GI(E) 3-343,บริษัท โออิชิ ฟู้ด เซอร์วิส จำกัด,48,2568-01-28T00:00:00,ชลบุรี
2571-01-27T00:00:00,49,GI(E) 3-344,บริษัท สหเซวา จำกัด,49,2568-01-28T00:00:00,ชลบุรี
2571-01-28T00:00:00,50,GI(E) 3-349,บริษัท ศรีไทยโมลด์ส จำกัด,50,2568-01-29T00:00:00,ชลบุรี
