จำนวนผู้เข้า,_id,จำนวนผู้ผ่าน,จังหวัด,จำนวนเป้าหมาย
34872,1,34872,น่าน,48133
27432,2,27430,เชียงใหม่,37250
29193,3,29241,ร้อยเอ็ด,35459
34388,4,34363,กาญจนบุรี,34279
18449,5,18334,นครราชสีมา,32360
13338,6,13062,กาฬสินธุ์,31147
16630,7,16243,อุดรธานี,30731
1262,8,1258,แม่ฮ่องสอน,27694
19302,9,17977,ปราจีนบุรี,25041
23423,10,23423,นครปฐม,24686
21727,11,21799,หนองบัวลำภู,22268
25327,12,24608,ฉะเชิงเทรา,21702
18717,13,18663,อุทัยธานี,19923
17474,14,18958,สุพรรณบุรี,19568
10474,15,10314,เชียงราย,19477
17620,16,17618,ยะลา,17601
18193,17,17946,สระบุรี,17489
13480,18,13480,พัทลุง,17385
2839,19,2799,ขอนแก่น,17113
13467,20,13388,อ่างทอง,17033
5006,21,5009,พระนครศรีอยุธยา,16139
13384,22,12814,ลำพูน,14936
15365,23,15365,ยโสธร,14744
8028,24,8028,ลพบุรี,14138
12703,25,12486,อุบลราชธานี,14105
3644,26,3644,สระแก้ว,13943
13817,27,13817,เพชรบุรี,13660
5803,28,5803,หนองคาย,13635
12410,29,12201,สกลนคร,13632
7361,30,7345,นครศรีธรรมราช,13517
11212,31,11019,ชัยภูมิ,13507
11544,32,11496,ตรัง,12936
9519,33,9335,ประจวบคีรีขันธ์,12893
13841,34,13841,สุรินทร์,12500
5136,35,4888,เพชรบูรณ์,12235
11368,36,11365,ศรีสะเกษ,12033
9842,37,9708,ภูเก็ต,12005
4156,38,4156,บึงกาฬ,11738
9723,39,9713,กำแพงเพชร,11560
9139,40,8460,มุกดาหาร,11481
10615,41,10613,สมุทรสาคร,11216
92508,42,92252,พิจิตร,10904
10060,43,9945,แพร่,10870
8466,44,8454,ลำปาง,10838
9961,45,9935,นราธิวาส,10484
10146,46,10160,สตูล,10291
10032,47,10032,ปัตตานี,10080
9797,48,9738,นครสวรรค์,9592
5853,49,5537,สุราษฎร์ธานี,9542
12155,50,12155,พิษณุโลก,9343
3220,51,3214,สมุทรปราการ,9260
7335,52,7391,ชลบุรี,8306
5002,53,4808,ปทุมธานี,8289
4441,54,4441,สิงห์บุรี,7760
7135,55,6534,เลย,7604
7041,56,6780,ระยอง,7225
4486,57,4486,นครพนม,6419
5628,58,5630,บุรีรัมย์,6012
5978,59,5725,จันทบุรี,5820
5431,60,5431,พะเยา,5484
5911,61,5911,ชัยนาท,5439
4727,62,4691,ระนอง,5335
5075,63,5059,ราชบุรี,5221
2795,64,2795,นนทบุรี,4825
5097,65,5109,สงขลา,4776
5133,66,5113,มหาสารคาม,4683
5481,67,5473,ตราด,4644
4347,68,4347,ชุมพร,4433
4406,69,4369,อำนาจเจริญ,4427
4246,70,4210,กระบี่,4277
4278,71,4270,ตาก,4019
3039,72,3039,สุโขทัย,4018
3746,73,3711,พังงา,4015
3592,74,3592,นครนายก,3864
1865,75,1865,สมุทรสงคราม,2158
1695,76,1604,อุตรดิตถ์,1613
