รายการ,_id,ปี,ไร่
เนื้อที่เพาะปลูกข้าวนาปรัง,1,2568,75
เนื้อที่เพาะปลูกข้าวนาปรัง,2,2567,68
เนื้อที่เพาะปลูกข้าวนาปรัง,3,2566,57
เนื้อที่เพาะปลูกข้าวนาปรัง,4,2565,107
