เลขที่,ที่มา,ชื่อ,_id,ปี,หน่วย,ค่า,ระดับ,อำเภอ,รายการ,ตำบล,หมู่
250,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ลาภภักดีปาล์ม จำกัด,1,2565,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาเขน,3
33/4,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สยามโมเดิร์น จำกัด,2,2565,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,นาเหนือ,2
88,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท กระบี่วิเศษน้ำมันปาล์ม จำกัด,3,2565,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองท่อมเหนือ,5
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ศรีเจริญ ปาล์ม ออยล์ จำกัด,4,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาดิน,3
99/9,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ปาล์มพันล้าน จำกัด,5,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เพหลา,2
145,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไทยอินโด ปาล์ม ออยล์ แฟคทอรี่ จำกัด,6,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ลำทับ,2
39,สำนักงานอุตสาหกรรมจังหวัดกระบี่,ชุมนุมสหกรณ์ชาวสวนปาล์มน้ำมันกระบี่ จำกัด,7,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองยา,1
368,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ภัทร ปาล์มออยล์ จำกัด,8,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,4
168,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท นามหงส์น้ำมันปาล์ม จำกัด,9,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,พรุเตียว,2
142,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,10,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทุ่งไทรทอง,1
592,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,11,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ปลายพระยา,
258,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,12,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
82,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไบโอเทคออยล์ จำกัด,13,2565,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,6
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท เอเซี่ยนน้ำมันปาล์ม จำกัด,14,2565,แห่ง,1,ระดับ 3 ระบบสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
325,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ป.พานิชรุ่งเรืองปาล์มออยล์ 2 จำกัด,15,2565,แห่ง,1,ระดับ 3 ระบบสีเขียว,เมืองกระบี่,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทับปริก,5
98,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),16,2565,แห่ง,1,ระดับ 4 วัฒนธรรมสีเขียว,เหนือคลอง,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ห้วยยูง,6
250,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ป.พานิชรุ่งเรืองปาล์มออยล์ 5 จำกัด,17,2566,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาเขน,3
33/4,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สยามโมเดิร์น จำกัด,18,2566,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,นาเหนือ,2
88,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท กระบี่วิเศษน้ำมันปาล์ม จำกัด,19,2566,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองท่อมเหนือ,5
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ศรีเจริญ ปาล์ม ออยล์ จำกัด,20,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาดิน,3
99/9,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ปาล์มพันล้าน จำกัด,21,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เพหลา,2
