VALUE,SOURCE,_id,UNIT,YEAR,LF_STATUS
714031,สำนักงานสถิติแห่งชาติ,1,คน,2557,กำลังแรงงานดิจิทัล (Digital Workforce)
337690,สำนักงานสถิติแห่งชาติ,2,คน,2557,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
361782,สำนักงานสถิติแห่งชาติ,3,คน,2557,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
11852,สำนักงานสถิติแห่งชาติ,4,คน,2557,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
2707,สำนักงานสถิติแห่งชาติ,5,คน,2557,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
752117,สำนักงานสถิติแห่งชาติ,6,คน,2558,กำลังแรงงานดิจิทัล (Digital Workforce)
364473,สำนักงานสถิติแห่งชาติ,7,คน,2558,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
373351,สำนักงานสถิติแห่งชาติ,8,คน,2558,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12739,สำนักงานสถิติแห่งชาติ,9,คน,2558,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
1553,สำนักงานสถิติแห่งชาติ,10,คน,2558,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
764829,สำนักงานสถิติแห่งชาติ,11,คน,2559,กำลังแรงงานดิจิทัล (Digital Workforce)
375077,สำนักงานสถิติแห่งชาติ,12,คน,2559,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
374415,สำนักงานสถิติแห่งชาติ,13,คน,2559,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12960,สำนักงานสถิติแห่งชาติ,14,คน,2559,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
2377,สำนักงานสถิติแห่งชาติ,15,คน,2559,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
785467,สำนักงานสถิติแห่งชาติ,16,คน,2560,กำลังแรงงานดิจิทัล (Digital Workforce)
386306,สำนักงานสถิติแห่งชาติ,17,คน,2560,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
381989,สำนักงานสถิติแห่งชาติ,18,คน,2560,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12791,สำนักงานสถิติแห่งชาติ,19,คน,2560,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
4380,สำนักงานสถิติแห่งชาติ,20,คน,2560,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
813728,สำนักงานสถิติแห่งชาติ,21,คน,2561,กำลังแรงงานดิจิทัล (Digital Workforce)
415623,สำนักงานสถิติแห่งชาติ,22,คน,2561,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
384156,สำนักงานสถิติแห่งชาติ,23,คน,2561,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12543,สำนักงานสถิติแห่งชาติ,24,คน,2561,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
1406,สำนักงานสถิติแห่งชาติ,25,คน,2561,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
833887,สำนักงานสถิติแห่งชาติ,26,คน,2562,กำลังแรงงานดิจิทัล (Digital Workforce)
434382,สำนักงานสถิติแห่งชาติ,27,คน,2562,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
386879,สำนักงานสถิติแห่งชาติ,28,คน,2562,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
10848,สำนักงานสถิติแห่งชาติ,29,คน,2562,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
1778,สำนักงานสถิติแห่งชาติ,30,คน,2562,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
904998,สำนักงานสถิติแห่งชาติ,31,คน,2563,กำลังแรงงานดิจิทัล (Digital Workforce)
473462,สำนักงานสถิติแห่งชาติ,32,คน,2563,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
409391,สำนักงานสถิติแห่งชาติ,33,คน,2563,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
17563,สำนักงานสถิติแห่งชาติ,34,คน,2563,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
4582,สำนักงานสถิติแห่งชาติ,35,คน,2563,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
971778,สำนักงานสถิติแห่งชาติ,36,คน,2564,กำลังแรงงานดิจิทัล (Digital Workforce)
523916,สำนักงานสถิติแห่งชาติ,37,คน,2564,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
419813,สำนักงานสถิติแห่งชาติ,38,คน,2564,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
24358,สำนักงานสถิติแห่งชาติ,39,คน,2564,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
3692,สำนักงานสถิติแห่งชาติ,40,คน,2564,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
1139265,สำนักงานสถิติแห่งชาติ,41,คน,2565,กำลังแรงงานดิจิทัล (Digital Workforce)
648503,สำนักงานสถิติแห่งชาติ,42,คน,2565,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
471818,สำนักงานสถิติแห่งชาติ,43,คน,2565,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
16664,สำนักงานสถิติแห่งชาติ,44,คน,2565,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
2281,สำนักงานสถิติแห่งชาติ,45,คน,2565,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
