_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,46.41,1109.19,38790,23900,682
2,2561,84.61,1233.87,38863,14583,398
3,2562,55,1904.48,48923,34627,929
4,2563,42.51,1780.32,39547,41880,1113
5,2564,85.48,1912.79,39696,22377,596
