ค่าข้อมูล,_id,ปี,แหล่งที่มา,อำเภอ,รายการ,จังหวัด,หน่วย
9582.42,1,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอเมืองปทุมธานี,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
25889.29,2,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอคลองหลวง,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
3609.58,3,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอธัญบุรี,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
105.33,4,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอหนองเสือ,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
4866.47,5,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอลาดหลุมแก้ว,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
3476.55,6,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอลำลูกกา,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
4841.43,7,2568,สำนักงานอุตสาหกรรมจังหวัดปทุมธานี,อำเภอสามโคก,ปริมาณของเสียอันตรายที่ขออนุญาตนำออกนอกโรงงาน,ปทุมธานี,ตัน
