﻿year,_id,value,unit,age_group,source
2556,1,2.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2556,2,12.3,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2556,3,19.1,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2556,4,18.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2556,5,16.4,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2556,6,19.9,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2556,7,9.5,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2556,8,1.4,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2557,9,1.5,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2557,10,11.7,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2557,11,19.6,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2557,12,20.1,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2557,13,15.5,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2557,14,20.9,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2557,15,9.2,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2557,16,1.5,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2558,17,1.1,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2558,18,10.9,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2558,19,25.6,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2558,20,22.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2558,21,18.8,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2558,22,14.5,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2558,23,5.7,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2558,24,0.7,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2559,25,1.0,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2559,26,8.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2559,27,24.4,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2559,28,21.9,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2559,29,17.9,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2559,30,18.7,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2559,31,6.9,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2559,32,0.7,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2560,33,1.1,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2560,34,8.3,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2560,35,22.7,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2560,36,22.4,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2560,37,18.4,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2560,38,19.9,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2560,39,6.4,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2560,40,0.8,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,41,1.1,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,42,11.8,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,43,22.7,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,44,21.4,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,45,17.6,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,46,18.7,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,47,6.1,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,48,0.6,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2562,49,0.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2562,50,11.1,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2562,51,21.3,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2562,52,20.2,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2562,53,17.1,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2562,54,21.5,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2562,55,7.3,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2562,56,0.8,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2563,57,0.9,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2563,58,10.8,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2563,59,25.0,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2563,60,19.5,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2563,61,16.2,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2563,62,21.4,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2563,63,5.7,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2563,64,0.4,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2564,65,1.2,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2564,66,13.1,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2564,67,23.3,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2564,68,19.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2564,69,15.5,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2564,70,19.8,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2564,71,6.8,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2564,72,0.6,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2565,73,0.7,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2565,74,12.8,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2565,75,24.0,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2565,76,20.1,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2565,77,14.7,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2565,78,19.4,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2565,79,7.2,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2565,80,1.2,ร้อยละ,60 ขึ้นไป,สำนักงานสถิติแห่งชาติ
2566,81,0.8,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2566,82,11.0,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2566,83,23.0,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2566,84,20.7,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
