คนงานชาย,แรงม้า,GPS_lat,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,GPS_lng,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ
3,515,18.3045684,7,22000000,1,1,บริษัท 77 สเตชั่น (ไทยแลนด์),แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี อาบ อัดน้ำยาอบไม้และทำชิ้นไม้สับ,103.8099419,โคกก่อง,เมืองบึงกาฬ,4,บึงกาฬ,บริษัท 77 สเตชั่น (ไทยแลนด์)
60,8420.04,18.3902919,75,75000000,2,2,พรเจริญพารา วู้ด,แปรรูปไม้ ผลิตไม้วีเนียร์ ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย  อาบ อัดน้ำยา และอบไม้ ,103.586769,ศรีชมภู,พรเจริญ,15,บึงกาฬ,บริษัท พรเจริญ พาราวู้ด จำกัด
80,886.3,18.38452657,80,57800000,3,3,บริษัท อุดร วู้ดแลนด์ คอร์ปอเรชั่น จำกัด,แปรรูปไม้โดยใช้เครื่องจักรเพื่อผลิต ไม้แปรรูปจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย และ อบ อัดน้ำยา,103.5994127,วิศิษฐ์,เมืองบึงกาฬ,0,บึงกาฬ,บริษัท อุดร วู้ดแลนด์ คอร์ปอเรชั่น จำกัด
52,3465.62,,57,73000000,4,4,บริษัท ไลแลนด์ พาราวู้ด จำกัด,แปรรูปไม้ ผลิตไม้วีเนียร์ ทำชิ้นไม้สับจากยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย อาบ อัดน้ำยาและอบไม้,,โนนสว่าง,เมืองบึงกาฬ,5,บึงกาฬ,บริษัท ไลแลนด์ พาราวู้ด จำกัด
40,1524.52,18.08455,45,30000000,5,5,-,แปรรูปไม้/ไม้วีเนียร์/ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย อาบ อัดน้ำยาและอบไม้,103.500317,คำแก้ว,โซ่พิสัย,5,บึงกาฬ,นายณฐพล เหล่าประเสริฐ
50,2561.52,,70,118000000,6,6,บริษัท ภัทรพาราวูด บึงกาฬ จำกัด,แปรรูปไม้ ผลิตไม้วีเนียร์ ผลิตชิ้นไม้สับจากยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย อัดน้ำยาและอบไม้,,ท่าสะอาด,เซกา,20,บึงกาฬ,บริษัท ภัทรพาราวูด บึงกาฬ จำกัด
116,2971.94,18.244363,176,150000000,7,7,บริษัท ส.กิจชัย บึงกาฬ จำกัด,แปรรูปไม้เพื่อผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี อบและอัดน้ำยาถนอมเนื้อไม้ ผลิตไม้วีเนียร์,103.326668,หนองยอง,ปากคาด,60,บึงกาฬ,บริษัท ส.กิจชัย บึงกาฬ จำกัด
72,1161.7,18.275973,72,55000000,8,8,บริษัท ฮวนเกิงวู้ด (ประเทศไทย) จำกัด,ทำไม้วีเนียร์จากไม้ยางพารา,103.671056,โนนสมบูรณ์,เมืองบึงกาฬ,0,บึงกาฬ,บริษัท ฮวนเกิงวู้ด (ประเทศไทย) จำกัด
15,225.08,18.34262,20,1524000,9,9,ห้างหุ้นส่วนจำกัด สำราญบึงกาฬ อิมพอร์ตเอ็กพอร์ต,"ไส ซอย ไม้แปรรูป, ทำวงกบ ประตู-หน้าต่าง บานประตู-หน้าต่าง, พาเลต และเครื่องเรือนเครื่องใช้จากไม้",103.672066,บึงกาฬ,เมืองบึงกาฬ,5,บึงกาฬ,ห้างหุ้นส่วนจำกัด สำราญบึงกาฬ อิมพอร์ตเอ็กพอร์ต
7,94.12,18.38093,12,850000,10,10,โรงงานไม้ เกตุจำนงค์,ทำเครื่องเรือนเครื่องใช้จากไม้ เช่น ทำวงกบประตู-หน้าต่าง หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,103.60994,วิศิษฐ์,เมืองบึงกาฬ,5,บึงกาฬ,นายเจตน์ เกตุจำนงค์
18,322.5,18.097337,20,8000000,11,11,เจริญมั่นคงพาราวู้ด,ผลิตไม้วีเนียร์ หรือไม้อัดทุกชนิด,103.600224,หนองหัวช้าง,พรเจริญ,2,บึงกาฬ,นายรังศรี สุภาปุ
10,140,18.27487799,12,8000000,12,12,ร้านวิเศษการยาง,ผลิตไม้วีเนียร์ หรือไม่อัดทุกชนิด,103.6286893,หอคำ,เมืองบึงกาฬ,2,บึงกาฬ,นายวิเศษ โพนแป๊ะ
