จำนวน,ที่มา,_id,ปี,ระดับ GI,จังหวัด,หน่วย
6,สำนักงานอุตสาหกรรมจังหวัดลำพูน,1,2562,ระดับ 1 ,ลำพูน,แห่ง
14,สำนักงานอุตสาหกรรมจังหวัดลำพูน,2,2562,ระดับ 2,ลำพูน,แห่ง
14,สำนักงานอุตสาหกรรมจังหวัดลำพูน,3,2562,ระดับ 3,ลำพูน,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,4,2562,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,5,2562,ระดับ 5,ลำพูน,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดลำพูน,6,2563,ระดับ 1 ,ลำพูน,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดลำพูน,7,2563,ระดับ 2,ลำพูน,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดลำพูน,8,2563,ระดับ 3,ลำพูน,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,9,2563,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,10,2563,ระดับ 5,ลำพูน,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,11,2564,ระดับ 1 ,ลำพูน,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดลำพูน,12,2564,ระดับ 2,ลำพูน,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดลำพูน,13,2564,ระดับ 3,ลำพูน,แห่ง
12,สำนักงานอุตสาหกรรมจังหวัดลำพูน,14,2564,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,15,2564,ระดับ 5,ลำพูน,แห่ง
169,สำนักงานอุตสาหกรรมจังหวัดลำพูน,16,2565,ระดับ 1 ,ลำพูน,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดลำพูน,17,2565,ระดับ 2,ลำพูน,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดลำพูน,18,2565,ระดับ 3,ลำพูน,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,19,2565,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,20,2565,ระดับ 5,ลำพูน,แห่ง
28,สำนักงานอุตสาหกรรมจังหวัดลำพูน,21,2566,ระดับ 1 ,ลำพูน,แห่ง
16,สำนักงานอุตสาหกรรมจังหวัดลำพูน,22,2566,ระดับ 2,ลำพูน,แห่ง
20,สำนักงานอุตสาหกรรมจังหวัดลำพูน,23,2566,ระดับ 3,ลำพูน,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดลำพูน,24,2566,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,25,2566,ระดับ 5,ลำพูน,แห่ง
228,สำนักงานอุตสาหกรรมจังหวัดลำพูน,26,2567,ระดับ 1,ลำพูน,แห่ง
41,สำนักงานอุตสาหกรรมจังหวัดลำพูน,27,2567,ระดับ 2,ลำพูน,แห่ง
47,สำนักงานอุตสาหกรรมจังหวัดลำพูน,28,2567,ระดับ 3,ลำพูน,แห่ง
13,สำนักงานอุตสาหกรรมจังหวัดลำพูน,29,2567,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,30,2567,ระดับ 5,ลำพูน,แห่ง
250,สำนักงานอุตสาหกรรมจังหวัดลำพูน,31,2568,ระดับ 1,ลำพูน,แห่ง
36,สำนักงานอุตสาหกรรมจังหวัดลำพูน,32,2568,ระดับ 2,ลำพูน,แห่ง
44,สำนักงานอุตสาหกรรมจังหวัดลำพูน,33,2568,ระดับ 3,ลำพูน,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดลำพูน,34,2568,ระดับ 4 ,ลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,35,2568,ระดับ 5,ลำพูน,แห่ง
