ประเภทโรงงาน,ค่าข้อมูล,ที่มา,_id,อำเภอ,รายการ,หน่วย
โรงงานผลิตคอนกรีตผสมเสร็จ,23,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,1,เมืองเชียงราย,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,9,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,2,เวียงชัย,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,9,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,3,เชียงของ,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,8,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,4,เทิง,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,5,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,5,พาน,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,6,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,6,ป่าแดด,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,16,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,7,แม่จัน,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,3,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,8,เชียงแสน,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,8,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,9,แม่สาย,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,5,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,10,แม่สรวย,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,7,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,11,เวียงป่าเป้า,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,12,พญาเม็งราย,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,13,เวียงแก่น,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,14,ขุนตาล,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตคอนกรีตผสมเสร็จ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,15,แม่ลาว,โรงงานอุตสาหกรรม,โรงงาน
