จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,จังหวัด
20,1,2568,ผลิตภัณฑ์จากพืช ,ระยอง
115,2,2568,อุตสาหกรรมอาหาร ,ระยอง
8,3,2568,อุตสาหกรรมเครื่องดื่ม ,ระยอง
12,4,2568,สิ่งทอ ,ระยอง
1,5,2568,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ระยอง
5,6,2568,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์ ,ระยอง
143,7,2568,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,ระยอง
31,8,2568,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ระยอง
25,9,2568,ผลิตกระดาษและผลิตภัณฑ์กระดาษ ,ระยอง
22,10,2568,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,ระยอง
102,11,2568,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,ระยอง
23,12,2568,ผลิตภัณฑ์จากปิโตรเลียม ,ระยอง
86,13,2568,ยางและผลิตภัณฑ์ยาง ,ระยอง
207,14,2568,ผลิตภัณฑ์พลาสติก ,ระยอง
134,15,2568,ผลิตภัณฑ์อโลหะ ,ระยอง
37,16,2568,ผลิตโลหะขั้นมูลฐาน ,ระยอง
301,17,2568,ผลิตภัณฑ์โลหะ ,ระยอง
99,18,2568,ผลิตเครื่องจักรและเครื่องกล,ระยอง
66,19,2568,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์ ,ระยอง
138,20,2568,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ระยอง
541,21,2568,การผลิตอื่นๆ ,ระยอง
20,22,2567,ผลิตภัณฑ์จากพืช ,ระยอง
114,23,2567,อุตสาหกรรมอาหาร ,ระยอง
8,24,2567,อุตสาหกรรมเครื่องดื่ม ,ระยอง
12,25,2567,สิ่งทอ ,ระยอง
1,26,2567,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ระยอง
5,27,2567,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์ ,ระยอง
141,28,2567,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,ระยอง
31,29,2567,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ระยอง
25,30,2567,ผลิตกระดาษและผลิตภัณฑ์กระดาษ ,ระยอง
