_id,ลำดับ,ประกอบกิจการ,เลขทะเบียนเดิม,ผู้ประกอบการ,เงินทุนรวม
1,1,ทำข้าวเกรียบ,3-10(3)-2/26ขก,ห้างหุ้นส่วนจำกัด ข้าวเกรียบกุ้ง เสรีพาณิชย์,"3,500,000.00"
2,2,ทำเส้นก๋วยเตี๋ยว,3-10(3)-2/28ขก,นายงามพล ศรีวรารักษ์,"2,300,000.00"
3,3,ทำเส้นหมี่และเส้นก๋วยเตี๋ยว,3-10(3)-3/24ขก,ห้างหุ้นส่วนจำกัด ขอนแก่นเลี้ยงเซ้งอุตสาหกรรม,"2,200,000.00"
4,4,ทำน้ำตาลทรายแดง,3-11(2)-1/65ขก,บริษัท วิสดอม อินดัสทรี จำกัด,"42,000,000.00"
5,5,"ทำน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังการผลิตไม่เกิน 20,400 ตันอ้อยต่อวัน",3-11(3)-1/20ขก,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน),"333,000,000.00"
6,6,"ทำน้ำตาลทรายดิบ น้ำตาลทรายขาว น้ำตาลทรายขาวบริสุทธิ์ กำลังการผลิต 15,162 ตันอ้อย/วัน",3-11(3)-1/37ขก,บริษัท รวมเกษตรกรอุตสาหกรรม จำกัด,"2,380,000,000.00"
7,7,ผลิตน้ำจิ้มสุกี้,3-13(2)-2/64ขก,บริษัท อำนวยฟู้ด จำกัด,"26,300,000.00"
8,8,ทำน้ำแข็ง,3-14-1/21ขก,นายนพดล โฆษิตวัฒนาพานิชย์,"1,900,000.00"
9,9,"ทำน้ำแข็งซองเพิ่มขึ้นอีก 812 ซอง/วัน รวมเป็น 1,072 ซอง/วัน และทำน้ำแข็งก้อนเล็ก ได้ 147 ตัน/วัน",3-14-1/22ขก,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งมิตรภาพขอนแก่น 2002,"35,000,000.00"
10,10,ทำน้ำแข็งก้อนเล็ก ได้วันละ 123.4ตัน,3-14-1/24ขก,บริษัท น้ำแข็งโคโรลิส จำกัด,"8,500,000.00"
11,11,ผลิตและจําหน่ายน้ำแข็งหลอด,3-14-15/68ขก,บริษัท วารีเทพ ขอนแก่น จำกัด,"51,833,813.00"
