VALUE,ST_GRADUATE,SOURCE,_id,SEX,UNIT,YEAR,LABOUR_STATUS
2670187,รวม,สำนักงานสถิติแห่งชาติ,1,ชาย,คน,2557,รวม
3769108,รวม,สำนักงานสถิติแห่งชาติ,2,รวม,คน,2557,รวม
1098921,รวม,สำนักงานสถิติแห่งชาติ,3,หญิง,คน,2557,รวม
34259,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,4,ชาย,คน,2557,ผู้ว่างงาน
51455,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,5,รวม,คน,2557,ผู้ว่างงาน
17196,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,6,หญิง,คน,2557,ผู้ว่างงาน
999671,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,7,ชาย,คน,2557,ทำงานด้านอื่น
1435931,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,8,รวม,คน,2557,ทำงานด้านอื่น
436260,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,9,หญิง,คน,2557,ทำงานด้านอื่น
1368861,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,10,ชาย,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1710715,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,11,รวม,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
341854,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,12,หญิง,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1636257,รวม,สำนักงานสถิติแห่งชาติ,13,ชาย,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2281722,รวม,สำนักงานสถิติแห่งชาติ,14,รวม,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
645465,รวม,สำนักงานสถิติแห่งชาติ,15,หญิง,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
267396,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,16,ชาย,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
571007,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,17,รวม,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
303611,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,18,หญิง,คน,2557,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2804754,รวม,สำนักงานสถิติแห่งชาติ,19,ชาย,คน,2558,รวม
3969016,รวม,สำนักงานสถิติแห่งชาติ,20,รวม,คน,2558,รวม
1164262,รวม,สำนักงานสถิติแห่งชาติ,21,หญิง,คน,2558,รวม
38453,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,22,ชาย,คน,2558,ผู้ว่างงาน
55270,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,23,รวม,คน,2558,ผู้ว่างงาน
16817,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,24,หญิง,คน,2558,ผู้ว่างงาน
1060827,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,25,ชาย,คน,2558,ทำงานด้านอื่น
1508639,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,26,รวม,คน,2558,ทำงานด้านอื่น
447812,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,27,หญิง,คน,2558,ทำงานด้านอื่น
1431550,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,28,ชาย,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1798729,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,29,รวม,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
367179,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,30,หญิง,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1705474,รวม,สำนักงานสถิติแห่งชาติ,31,ชาย,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2405107,รวม,สำนักงานสถิติแห่งชาติ,32,รวม,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
699633,รวม,สำนักงานสถิติแห่งชาติ,33,หญิง,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
273924,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,34,ชาย,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
606378,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,35,รวม,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
332454,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,36,หญิง,คน,2558,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2793095,รวม,สำนักงานสถิติแห่งชาติ,37,ชาย,คน,2559,รวม
4008783,รวม,สำนักงานสถิติแห่งชาติ,38,รวม,คน,2559,รวม
1215688,รวม,สำนักงานสถิติแห่งชาติ,39,หญิง,คน,2559,รวม
39135,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,40,ชาย,คน,2559,ผู้ว่างงาน
60564,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,41,รวม,คน,2559,ผู้ว่างงาน
21429,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,42,หญิง,คน,2559,ผู้ว่างงาน
1060628,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,43,ชาย,คน,2559,ทำงานด้านอื่น
1541276,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,44,รวม,คน,2559,ทำงานด้านอื่น
480648,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,45,หญิง,คน,2559,ทำงานด้านอื่น
1408500,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,46,ชาย,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1795374,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,47,รวม,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
386874,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,48,หญิง,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
