จำนวน,_id,ปี,ไตรมาส,อาชีพ
246662,47,2565,12565,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
84191,48,2565,12565,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
44631,49,2565,12565,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
82200,50,2565,12565,ผู้ประกอบอาชีพงานพื้นฐาน
855482,51,2565,22565,รวม
18017,52,2565,22565,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
58963,53,2565,22565,ผู้ประกอบวิชาชีพด้านต่าง ๆ
23625,54,2565,22565,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
26002,55,2565,22565,เสมียน
250391,56,2565,22565,พนักงานบริการและผู้จำหน่ายสินค้า
288398,57,2565,22565,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
85061,58,2565,22565,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
44061,59,2565,22565,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
60964,60,2565,22565,ผู้ประกอบอาชีพงานพื้นฐาน
875989,61,2565,32565,รวม
20132,62,2565,32565,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
42626,63,2565,32565,ผู้ประกอบวิชาชีพด้านต่าง ๆ
22721,64,2565,32565,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
21561,65,2565,32565,เสมียน
285405,66,2565,32565,พนักงานบริการและผู้จำหน่ายสินค้า
323102,67,2565,32565,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
83066,68,2565,32565,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
36834,69,2565,32565,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
40542,70,2565,32565,ผู้ประกอบอาชีพงานพื้นฐาน
879623,71,2565,42565,รวม
18506,72,2565,42565,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
51463,73,2565,42565,ผู้ประกอบวิชาชีพด้านต่าง ๆ
27748,74,2565,42565,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
25804,75,2565,42565,เสมียน
244126,76,2565,42565,พนักงานบริการและผู้จำหน่ายสินค้า
330094,77,2565,42565,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
80391,78,2565,42565,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
52588,79,2565,42565,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
48903,80,2565,42565,ผู้ประกอบอาชีพงานพื้นฐาน
913968,81,2566,12566,รวม
18437,82,2566,12566,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
40327,83,2566,12566,ผู้ประกอบวิชาชีพด้านต่าง ๆ
28558,84,2566,12566,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
25587,85,2566,12566,เสมียน
231639,86,2566,12566,พนักงานบริการและผู้จำหน่ายสินค้า
352109,87,2566,12566,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
87252,88,2566,12566,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
45452,89,2566,12566,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
