ประเภท,ชื่อ มอก. ภาษาไทย,_id,ลำดับ,ชื่อโรงงาน,ที่อยู่โรงงาน,เลข มอก.,ทะเบียนโรงงาน,เลขที่ใบอนุญาต,วันที่ออกใบอนุญาต,เลขภาษี,จังหวัด,ผู้รับใบอนุญาต
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,1,1,บริษัท ทีพีซีเอส จำกัด (มหาชน),624/5-8 ถนนสุขาภิบาล 8 หมู่11 ซอย- ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2424-2562,100200600125342,4227-1/2424,2021-01-21T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,2,2,บริษัท มารีอา โปรดักส์ จำกัด,9999 ถนน หมู่9 ซอย ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ,2480-2562,-,4922-1/2480,2021-06-04T00:00:00,115549012102,สมุทรปราการ,บริษัท มารีอา โปรดักส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,3,3,บริษัท เมดิเชน จำกัด,444 ถนน หมู่6 ซอย ตำบลพังขว้าง อำเภอเมืองสกลนคร จังหวัดสกลนคร,2424-2562,-,5000-2/2424,2021-06-15T00:00:00,475560000295,สกลนคร,บริษัท เมดิเชน จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,4,4,บริษัท เคเอส โกลเด้น จำกัด,53 ถนน หมู่12 ซอย ตำบลคูบางหลวง อำเภอลาดหลุมแก้ว จังหวัดปทุมธานี,2424-2562,,5073-3/2424,2021-07-06T00:00:00,135559012997,ปทุมธานี,บริษัท เคเอส โกลเด้น จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,5,5,บริษัท วิชัย เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,13 ถนน หมู่4 ซอย ตำบลหนองปลาหมอ อำเภอบ้านโป่ง จังหวัดราชบุรี,2424-2562,-,5262-4/2424,2021-08-25T00:00:00,705551000277,ราชบุรี,บริษัท วิชัย เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,6,6,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด,55/45 ถนน หมู่4 ซอย ตำบลบึงคำพร้อย อำเภอลำลูกกา จังหวัดปทุมธานี,2424-2562,จ3-28(1)-13/58ปท,5392-5/2424,2021-09-27T00:00:00,105550062401,ปทุมธานี,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,7,7,บริษัท เอส.เจ.อีควิปเมนท์ แอนด์ แคร์ จำกัด,393 ถนน- หมู่2 ซอย- ตำบลป่าสัก อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2562,-,5502-6/2424,2021-11-01T00:00:00,515563001011,ลำพูน,บริษัท เอส.เจ.อีควิปเมนท์ แอนด์ แคร์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,8,8,บริษัท เบฟเทค จำกัด,68/2 ถนน หมู่2 ซอย ตำบลน้ำเต้า อำเภอบางบาล จังหวัดพระนครศรีอยุธยา,2424-2562,,5522-7/2424,2021-11-03T00:00:00,105559187126,พระนครศรีอยุธยา,บริษัท เบฟเทค จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,9,9,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด,4/5 ถนน หมู่ ซอยวัฒนานิเวศน์ 3 แขวงสามเสนนอก เขตห้วยขวาง จังหวัดกรุงเทพมหานคร,2424-2562,-,5524-8/2424,2021-11-08T00:00:00,105563095621,กรุงเทพมหานคร,บริษัท เอ็มไนน์ เมดิคอล อีควิปเม้นท์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,10,10,บริษัท เฮลท์เวย์ ซัพพลาย จำกัด,1033 ถนนประชาพัฒนา หมู่ ซอย แขวงทับยาว เขตลาดกระบัง จังหวัดกรุงเทพมหานคร,2424-2562,,5561-9/2424,2021-11-17T00:00:00,105563062197,กรุงเทพมหานคร,บริษัท เฮลท์เวย์ ซัพพลาย จำกัด
