จำนวน,_id,ปี,สถานภาพการทำงาน,เพศ,ไตรมาส
" 392,987 ",1,2561,ยอดรวม,รวม,ไตรมาส 1
" 381,300 ",2,2561,ยอดรวม,รวม,ไตรมาส 2
" 393,255 ",3,2561,ยอดรวม,รวม,ไตรมาส 3
" 393,866 ",4,2561,ยอดรวม,รวม,ไตรมาส 4
" 390,352 ",5,2561,ยอดรวม,รวม,เฉลี่ย 4 ไตรมาส
" 216,651 ",6,2561,ยอดรวม,ชาย                         ,ไตรมาส 1
" 212,107 ",7,2561,ยอดรวม,ชาย                         ,ไตรมาส 2
" 217,789 ",8,2561,ยอดรวม,ชาย                         ,ไตรมาส 3
" 216,320 ",9,2561,ยอดรวม,ชาย                         ,ไตรมาส 4
" 215,717 ",10,2561,ยอดรวม,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 176,336 ",11,2561,ยอดรวม,หญิง                        ,ไตรมาส 1
" 169,194 ",12,2561,ยอดรวม,หญิง                        ,ไตรมาส 2
" 175,466 ",13,2561,ยอดรวม,หญิง                        ,ไตรมาส 3
" 177,546 ",14,2561,ยอดรวม,หญิง                        ,ไตรมาส 4
" 174,635 ",15,2561,ยอดรวม,หญิง                        ,เฉลี่ย 4 ไตรมาส
" 9,398 ",16,2561,นายจ้าง,รวม,ไตรมาส 1
" 10,138 ",17,2561,นายจ้าง,รวม,ไตรมาส 2
" 8,343 ",18,2561,นายจ้าง,รวม,ไตรมาส 3
" 8,957 ",19,2561,นายจ้าง,รวม,ไตรมาส 4
" 9,209 ",20,2561,นายจ้าง,รวม,เฉลี่ย 4 ไตรมาส
" 7,243 ",21,2561,นายจ้าง,ชาย                         ,ไตรมาส 1
" 8,295 ",22,2561,นายจ้าง,ชาย                         ,ไตรมาส 2
" 5,877 ",23,2561,นายจ้าง,ชาย                         ,ไตรมาส 3
" 6,307 ",24,2561,นายจ้าง,ชาย                         ,ไตรมาส 4
" 6,930 ",25,2561,นายจ้าง,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 2,154 ",26,2561,นายจ้าง,หญิง                        ,ไตรมาส 1
" 1,843 ",27,2561,นายจ้าง,หญิง                        ,ไตรมาส 2
" 2,466 ",28,2561,นายจ้าง,หญิง                        ,ไตรมาส 3
" 2,650 ",29,2561,นายจ้าง,หญิง                        ,ไตรมาส 4
" 2,278 ",30,2561,นายจ้าง,หญิง                        ,เฉลี่ย 4 ไตรมาส
" 37,331 ",31,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 1
" 30,684 ",32,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 2
" 31,209 ",33,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 3
" 35,708 ",34,2561,ลูกจ้างรัฐบาล,รวม,ไตรมาส 4
" 33,733 ",35,2561,ลูกจ้างรัฐบาล,รวม,เฉลี่ย 4 ไตรมาส
" 17,716 ",36,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 1
" 14,195 ",37,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 2
" 14,329 ",38,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 3
" 14,874 ",39,2561,ลูกจ้างรัฐบาล,ชาย                         ,ไตรมาส 4
" 15,278 ",40,2561,ลูกจ้างรัฐบาล,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 19,615 ",41,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 1
" 16,489 ",42,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 2
" 16,880 ",43,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 3
" 20,835 ",44,2561,ลูกจ้างรัฐบาล,หญิง                        ,ไตรมาส 4
" 18,455 ",45,2561,ลูกจ้างรัฐบาล,หญิง                        ,เฉลี่ย 4 ไตรมาส
" 220,423 ",46,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 1
" 218,620 ",47,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 2
" 233,957 ",48,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 3
" 225,691 ",49,2561,ลูกจ้างเอกชน,รวม,ไตรมาส 4
" 224,673 ",50,2561,ลูกจ้างเอกชน,รวม,เฉลี่ย 4 ไตรมาส
" 132,698 ",51,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 1
" 131,389 ",52,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 2
" 144,818 ",53,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 3
" 136,290 ",54,2561,ลูกจ้างเอกชน,ชาย                         ,ไตรมาส 4
" 136,299 ",55,2561,ลูกจ้างเอกชน,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 87,725 ",56,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 1
" 87,231 ",57,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 2
" 89,139 ",58,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 3
" 89,401 ",59,2561,ลูกจ้างเอกชน,หญิง                        ,ไตรมาส 4
" 88,374 ",60,2561,ลูกจ้างเอกชน,หญิง                        ,เฉลี่ย 4 ไตรมาส
" 86,637 ",61,2561,ทำงานส่วนตัว,รวม,ไตรมาส 1
" 80,609 ",62,2561,ทำงานส่วนตัว,รวม,ไตรมาส 2
" 78,844 ",63,2561,ทำงานส่วนตัว,รวม,ไตรมาส 3
" 85,834 ",64,2561,ทำงานส่วนตัว,รวม,ไตรมาส 4
" 82,981 ",65,2561,ทำงานส่วนตัว,รวม,เฉลี่ย 4 ไตรมาส
" 42,209 ",66,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 1
" 38,415 ",67,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 2
" 34,530 ",68,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 3
" 41,043 ",69,2561,ทำงานส่วนตัว,ชาย                         ,ไตรมาส 4
" 39,049 ",70,2561,ทำงานส่วนตัว,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 44,428 ",71,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 1
" 42,194 ",72,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 2
" 44,313 ",73,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 3
" 44,791 ",74,2561,ทำงานส่วนตัว,หญิง                        ,ไตรมาส 4
" 43,931 ",75,2561,ทำงานส่วนตัว,หญิง                        ,เฉลี่ย 4 ไตรมาส
" 39,199 ",76,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 1
" 41,080 ",77,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 2
" 40,902 ",78,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 3
" 37,677 ",79,2561,ช่วยธุรกิจครัวเรือน,รวม,ไตรมาส 4
" 39,714 ",80,2561,ช่วยธุรกิจครัวเรือน,รวม,เฉลี่ย 4 ไตรมาส
" 16,785 ",81,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 1
" 19,643 ",82,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 2
" 18,234 ",83,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 3
" 17,808 ",84,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,ไตรมาส 4
" 18,117 ",85,2561,ช่วยธุรกิจครัวเรือน,ชาย                         ,เฉลี่ย 4 ไตรมาส
" 22,415 ",86,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 1
" 21,436 ",87,2561,ช่วยธุรกิจครัวเรือน,หญิง                        ,ไตรมาส 2
