_id,ปี,หน่วยนับ,อำเภอ,โรงงานอุตสาหกรรม
1,2562,แห่ง,เมืองนครสวรรค์,362
2,2562,แห่ง,เก้าเลี้ยว,24
3,2562,แห่ง,โกรกพระ,39
4,2562,แห่ง,แม่เปิน,5
5,2562,แห่ง,แม่วงก์,21
6,2562,แห่ง,ไพศาลี,47
7,2562,แห่ง,ชุมแสง,47
8,2562,แห่ง,ชุมตาบง,7
9,2562,แห่ง,ตากฟ้า,41
10,2562,แห่ง,ตาคลี,128
11,2562,แห่ง,ท่าตะโก,51
12,2562,แห่ง,บรรพตพิสัย,69
13,2562,แห่ง,พยุหะคีรี,80
14,2562,แห่ง,ลาดยาว,83
15,2562,แห่ง,หนองบัว,88
16,2563,แห่ง,เมืองนครสวรรค์,182
17,2563,แห่ง,เก้าเลี้ยว,15
18,2563,แห่ง,โกรกพระ,31
19,2563,แห่ง,แม่เปิน,3
20,2563,แห่ง,แม่วงก์,15
21,2563,แห่ง,ไพศาลี,39
22,2563,แห่ง,ชุมแสง,34
23,2563,แห่ง,ชุมตาบง,2
24,2563,แห่ง,ตากฟ้า,33
25,2563,แห่ง,ตาคลี,92
26,2563,แห่ง,ท่าตะโก,39
27,2563,แห่ง,บรรพตพิสัย,41
28,2563,แห่ง,พยุหะคีรี,52
29,2563,แห่ง,ลาดยาว,48
30,2563,แห่ง,หนองบัว,66
31,2564,แห่ง,เมืองนครสวรรค์,182
32,2564,แห่ง,เก้าเลี้ยว,15
33,2564,แห่ง,โกรกพระ,31
34,2564,แห่ง,แม่เปิน,3
35,2564,แห่ง,แม่วงก์,15
36,2564,แห่ง,ไพศาลี,39
37,2564,แห่ง,ชุมแสง,34
38,2564,แห่ง,ชุมตาบง,2
39,2564,แห่ง,ตากฟ้า,33
40,2564,แห่ง,ตาคลี,92
41,2564,แห่ง,ท่าตะโก,39
42,2564,แห่ง,บรรพตพิสัย,41
43,2564,แห่ง,พยุหะคีรี,52
44,2564,แห่ง,ลาดยาว,48
45,2564,แห่ง,หนองบัว,66
46,2565,แห่ง,เมืองนครสวรรค์,184
47,2565,แห่ง,เก้าเลี้ยว,22
48,2565,แห่ง,โกรกพระ,30
49,2565,แห่ง,แม่เปิน,3
50,2565,แห่ง,แม่วงก์,14
51,2565,แห่ง,ไพศาลี,37
52,2565,แห่ง,ชุมแสง,37
53,2565,แห่ง,ชุมตาบง,2
54,2565,แห่ง,ตากฟ้า,35
55,2565,แห่ง,ตาคลี,99
56,2565,แห่ง,ท่าตะโก,41
57,2565,แห่ง,บรรพตพิสัย,43
58,2565,แห่ง,พยุหะคีรี,62
59,2565,แห่ง,ลาดยาว,51
60,2565,แห่ง,หนองบัว,69
61,2566,แห่ง,เมืองนครสวรรค์,187
62,2566,แห่ง,เก้าเลี้ยว,22
63,2566,แห่ง,โกรกพระ,29
64,2566,แห่ง,แม่เปิน,3
65,2566,แห่ง,แม่วงก์,13
66,2566,แห่ง,ไพศาลี,37
67,2566,แห่ง,ชุมแสง,35
68,2566,แห่ง,ชุมตาบง,2
69,2566,แห่ง,ตากฟ้า,41
70,2566,แห่ง,ตาคลี,97
71,2566,แห่ง,ท่าตะโก,40
72,2566,แห่ง,บรรพตพิสัย,40
73,2566,แห่ง,พยุหะคีรี,64
74,2566,แห่ง,ลาดยาว,52
75,2566,แห่ง,หนองบัว,75
76,2567,แห่ง,เมืองนครสวรรค์,187
77,2567,แห่ง,เก้าเลี้ยว,23
78,2567,แห่ง,โกรกพระ,28
79,2567,แห่ง,แม่เปิน,3
80,2567,แห่ง,แม่วงก์,13
81,2567,แห่ง,ไพศาลี,37
82,2567,แห่ง,ชุมแสง,35
83,2567,แห่ง,ชุมตาบง,2
84,2567,แห่ง,ตากฟ้า,37
85,2567,แห่ง,ตาคลี,95
86,2567,แห่ง,ท่าตะโก,40
87,2567,แห่ง,บรรพตพิสัย,39
88,2567,แห่ง,พยุหะคีรี,64
89,2567,แห่ง,ลาดยาว,52
90,2567,แห่ง,หนองบัว,75
91,,,,
92,หมายเหตุ ตั้งแต่ปี พ.ศ. 2563 จำนวนโรงงานตัดโรงงานที่เครื่องจักรไม่ถึงห้าสิบแรงม้าหรือเทียบเท่าไม่ถึงห้าสิบแรงม้าและใช้คนงานไม่ถึงห้าสิบคนออก ตามพระราชบัญญัติโรงงาน พ.ศ. 2562,,,
