ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ,ที่
" 81,684.00 ", 783.30 ,1, 5.00 ,11.5," 2,513.00 ",เมืองตาก,1
" 23,669.00 ", 118.69 ,2, 12.71 ,4.25," 2,076.51 ",บ้านตาก,2
" 18,480.00 ", 277.94 ,3," 1,567.65 ",9.35," 6,732.00 ",สามเงา,3
" 60,913.00 ", 618.72 ,4,0.00,1.0, 34.25 ,แม่ระมาด,4
" 65,885.00 ", 56.10 ,5,0.00,10.0, 5.00 ,ท่าสองยาง,5
" 52,932.00 ", 588.71 ,6,0.00,3.75, 24.00 ,แม่สอด,6
" 14,345.00 ", 235.27 ,7, 42.21 ,523.03, 80.68 ,พบพระ,7
" 41,668.00 "," 1,538.18 ",8, 10.00 ,18.0, 2.00 ,อุ้มผาง,8
" 16,251.00 ", 184.50 ,9, 113.25 ,10.0," 15,871.00 ",วังเจ้า,9
" 375,827.00 "," 4,401.41 ",10," 1,750.82 ",590.88," 27,338.44 ",,รวม
,,11,,,,,
,,12,,,,,
