ละติดจูด,วิธีการกำจัด,ชื่อสถานที่,ปริมาณขยะ,_id,ปี,ลองติจูด,ที่ตั้ง,อำเภอ,ขนาดพื้นที่ (ตารางวา)
13.251959,ฝังกลบ,บ่อขยะเทศบาลเมืองแสนสุข,150,1,2566,101.009821,146/9 ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,78600
13.133938,เทกอง,บ่อขยะเทศบาลเมืองศรีราชา,45,2,2566,100.984152,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,45798
13.063117,ฝังกลบ,บ่อขยะเทศบาลนครแหลมฉบัง,850,3,2566,101.027448,หมู่ 8 ต.บึง อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,91600
13.289644,เทกอง + RDF,บ่อขยะบจ.ชวสิงห์ (อบต.หนองอิรุณ),365,4,2566,101.210435,78 ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20170,ศรีราชา,16000
13.08733,ฝังกลบ,บ่อขยะบจ.อีสเทิร์นซีบอร์ดฯ เอนไวรอนเมนทอล คอมเพล็กซ์ (เทศบาลนครเจ้าพระยาสุรศักดิ์),501,5,2566,101.0907,88 ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,45272
13.06072,ฝังกลบ,บ่อขยะบจ.คลีน ซิตี้ (อบต.เขาคันทรง),250,6,2566,101.13368,669 ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,34000
12.900798,เทกอง,บ่อขยะเทศบาลเมืองหนองปรือ,110,7,2566,100.957938,บ้านทุ่งกลม ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,บางละมุง,11822
12.823583,เทกอง,บ่อขยะเทศบาลตำบลห้วยใหญ่,30,8,2566,100.985464,ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี 20150,บางละมุง,2400
13.249351,เทกอง,บ่อขยะเทศบาลตำบลหัวกุญแจ,15,9,2566,101.176732,บ้านกลางดอน หมู่ 9 ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20170,บ้านบึง,4000
13.505187,ฝังกลบ,บ่อขยะอบต.เกาะลอย,1,10,2566,101.081963,ต.เกาะลอย อ.พานทอง จ.ชลบุรี 20160,พานทอง,715
