เดือน,_id,month
ผู้ประกันตนม.33 ขึ้นทะเบียนที่จังหวัด,1,33_Prov
ผู้ประกันตนม.33 ขึ้นทะเบียนที่ปลวกแดง,2,33_Pluak Daeng
ผู้ประกันตนม.39 ขึ้นทะเบียนที่จังหวัด,3,39_Prov
ผู้ประกันตนม.39 ขึ้นทะเบียนที่ปลวกแดง,4,39_Pluak Daeng
ผู้ประกันตนม.40 ขึ้นทะเบียนที่จังหวัด,5,40_Prov
ผู้ประกันตนม.40 ขึ้นทะเบียนที่ปลวกแดง,6,40_Pluak Daeng
รวม,7,Sum
