เดือน,_id,ปี,ทุนจดทะเบียน(ล้านบาท),จำนวนโรงงานอุตสาหกรรม
มกราคม,1,2567,15186.63,381
กุมภาพันธ์,2,2567,15201.71,378
มีนาคม,3,2567,15355.71,384
เมษายน,4,2567,18155.82,386
พฤษภาคม,5,2567,18187.32,385
มิถุนายน,6,2567,18192.32,386
กรกฎาคม,7,2567,18161.71,384
สิงหาคม,8,2567,18161.71,384
กันยายน,9,2567,18161.71,384
ตุลาคม,10,2567,18161.71,384
พฤศจิกายน,11,2567,18161.71,384
ธันวาคม,12,2567,18161.71,384
มกราคม,13,2568,"18,429.71",386
กุมภาพันธ์,14,2568,"18,429.71",386
มีนาคม,15,2568,"18,357.71",385
เมษายน,16,2568,,
พฤษภาคม,17,2568,,
มิถุนายน,18,2568,,
กรกฎาคม,19,2568,,
สิงหาคม,20,2568,"18,547.29",386
