จำนวน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,เพศ,ตำบล,อำเภอ,TSIC,รหัสประเภท
3,1,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เดอะมอส ไอเดีย แอนด์ ดราก้อน,กิจการนำเข้ากระเทียมและผลผลิตทางการเกษตรมาเป็นวัตถุดิบและแปรรูปเพื่อส่งออกไปจำหน่ายยังต่างประเทศ,2563,ชาย,คำอาฮวน,เมืองมุกดาหาร,1630,201
2,2,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เดอะมอส ไอเดีย แอนด์ ดราก้อน,กิจการนำเข้ากระเทียมและผลผลิตทางการเกษตรมาเป็นวัตถุดิบและแปรรูปเพื่อส่งออกไปจำหน่ายยังต่างประเทศ,2563,หญิง,คำอาฮวน,เมืองมุกดาหาร,1630,201
5,3,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,อบข้าวเปลือก,2559,ชาย,มุกดาหาร,เมืองมุกดาหาร,1630,201
0,4,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,อบข้าวเปลือก,2559,หญิง,มุกดาหาร,เมืองมุกดาหาร,1630,201
3,5,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์ธารา,โรงโม่ บด หรือย่อยหิน,2565,ชาย,มุกดาหาร,เมืองมุกดาหาร,23961,301
0,6,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์ธารา,โรงโม่ บด หรือย่อยหิน,2565,หญิง,มุกดาหาร,เมืองมุกดาหาร,23961,301
5,7,สำนักงานอุตสาหกรรมจังหวัด,คน,นายเบ็อเด้น ใจสุข,ขุดตักดิน,2558,ชาย,นาสีนวน,เมืองมุกดาหาร,8103,302
0,8,สำนักงานอุตสาหกรรมจังหวัด,คน,นายเบ็อเด้น ใจสุข,ขุดตักดิน,2558,หญิง,นาสีนวน,เมืองมุกดาหาร,8103,302
3,9,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ท่าทรายทรัพย์ทรายทอง 2001,ดูดทราย,2565,ชาย,นาสีนวน,เมืองมุกดาหาร,8103,304
0,10,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ท่าทรายทรัพย์ทรายทอง 2001,ดูดทราย,2565,หญิง,นาสีนวน,เมืองมุกดาหาร,8103,304
27,11,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2560,ชาย,มุกดาหาร,เมืองมุกดาหาร,10111,401
6,12,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,ฆ่าและชำแหละโคขุน,2560,หญิง,มุกดาหาร,เมืองมุกดาหาร,10111,401
6,13,สำนักงานอุตสาหกรรมจังหวัด,คน,ลูกชิ้นสมศักดิ์,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,ชาย,นาสีนวน,เมืองมุกดาหาร,10139,403
7,14,สำนักงานอุตสาหกรรมจังหวัด,คน,ลูกชิ้นสมศักดิ์,ผลิตลูกชิ้นและหมูยอจากเนื้อสัตว์,2556,หญิง,นาสีนวน,เมืองมุกดาหาร,10139,403
15,15,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเนอร์โกร (ประเทศไทย) จำกัด,"สกัดและผลิตน้ำมัน CBD, น้ำมันเมล็ดกัญชง (Hemp Seed Oil) แปรรูปผลผลิตจาก กัญชง และสมุนไพร",2564,ชาย,คำอาฮวน,เมืองมุกดาหาร,10491,701
22,16,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเนอร์โกร (ประเทศไทย) จำกัด,"สกัดและผลิตน้ำมัน CBD, น้ำมันเมล็ดกัญชง (Hemp Seed Oil) แปรรูปผลผลิตจาก กัญชง และสมุนไพร",2564,หญิง,คำอาฮวน,เมืองมุกดาหาร,10491,701
27,17,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,สีข้าว,2554,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10611,901
6,18,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,สีข้าว,2554,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10611,901
9,19,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาธัญญทิพย์ จำกัด,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2514,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
0,20,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาธัญญทิพย์ จำกัด,สีข้าว (รวมกำลังสีสูงสุดของร้านสีข้าวได้ 210 เกวียนต่อวัน เท่าสิทธิเดิม) และอบข้าวเปลือก,2514,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
7,21,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2527,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
0,22,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 25 เกวียน/วัน,2527,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
22,23,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,สีข้าว,2555,ชาย,มุกดาหาร,เมืองมุกดาหาร,10611,901
5,24,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท โรงสีมุกธัญญา จำกัด,สีข้าว,2555,หญิง,มุกดาหาร,เมืองมุกดาหาร,10611,901
60,25,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2550,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10612,902
25,26,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2550,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10612,902
30,27,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2559,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10612,902
25,28,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ผลิตแป้งมันสำปะหลัง,2559,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10612,902
60,29,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์โมดิไฟด์สตาร์ช จำกัด,ผลิตแป้งมันสำปะหลังดัดแปร,2559,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10612,902
