dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,year,1,text,YEAR
2,สถานภาพแรงงาน,labor force status,2,text,LF_STATUS
3,ค่าข้อมูล,value,3,numeric,VALUE
4,หน่วยนับ,unit,4,text,UNIT
5,ที่มาระดับ,source,5,text,SOURCE
