วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
2571-06-01T00:00:00,1,GI(E) 2-406,บริษัท เจซี เฮลธ์ตี้ โปร อินโนเวชั่น (ประเทศไทย) จำกัด,1,2568-07-01T00:00:00,ชลบุรี
2571-07-01T00:00:00,2,GI(E) 2-411,บริษัท อีสเทิร์น พลาสแพ็ค จำกัด,2,2568-08-01T00:00:00,ชลบุรี
2571-01-14T00:00:00,3,GI(E) 2-432,บริษัท ฉัตรการช่าง แหลมฉบัง จำกัด,3,2568-01-15T00:00:00,ชลบุรี
2571-03-02T00:00:00,4,GI(E) 2-489,บริษัท สุพรีม พลาสติก อินดัสตรี้ จำกัด,4,2568-04-02T00:00:00,ชลบุรี
2571-03-02T00:00:00,5,GI(E) 2-491,บริษัท เอสเอ็มที 54 จำกัด,5,2568-04-02T00:00:00,ชลบุรี
2571-05-02T00:00:00,6,GI(E) 2-501,บริษัท ยงคอนกรีต จำกัด,6,2568-06-02T00:00:00,ชลบุรี
2571-10-02T00:00:00,7,GI(E) 2-527,บริษัท วาโก้ศรีราชา จำกัด,7,2568-11-02T00:00:00,ชลบุรี
2571-02-18T00:00:00,8,GI(E) 2-555,บริษัท สยามเทคนิคคอนกรีต จำกัด (มหาชน),8,2568-02-19T00:00:00,ชลบุรี
2571-02-19T00:00:00,9,GI(E) 2-557,บริษัท บี.เอ.ซีเทค จำกัด,9,2568-02-20T00:00:00,ชลบุรี
2571-02-24T00:00:00,10,GI(E) 2-596,บริษัท ซิงหวอไท่ จำกัด,10,2568-02-25T00:00:00,ชลบุรี
2571-02-26T00:00:00,11,GI(E) 2-597,บริษัท จุฑาวรรณ จำกัด,11,2568-02-27T00:00:00,ชลบุรี
2571-03-03T00:00:00,12,GI(E) 2-610,บริษัท นิรมิตรขนส่ง 2003 จำกัด,12,2568-04-03T00:00:00,ชลบุรี
2571-06-03T00:00:00,13,GI(E) 2-630,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,13,2568-07-03T00:00:00,ชลบุรี
2571-11-03T00:00:00,14,GI(E) 2-671,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,14,2568-12-03T00:00:00,ชลบุรี
2571-03-18T00:00:00,15,GI(E) 2-758,บริษัท โตโยดะ เซโก (ประเทศไทย) จำกัด,15,2568-03-19T00:00:00,ชลบุรี
2571-03-18T00:00:00,16,GI(E) 2-771,บริษัท สุขสมบูรณ์ผลิตภัณฑ์น้ำมันพืช จำกัด,16,2568-03-19T00:00:00,ชลบุรี
2571-03-24T00:00:00,17,GI(E) 2-833,บริษัท พลังงานสุขสมบูรณ์ จำกัด,17,2568-03-25T00:00:00,ชลบุรี
2571-03-25T00:00:00,18,GI(E) 2-862,บริษัท โตโยกซ์ เอเชีย (ไทยแลนด์) จำกัด,18,2568-03-26T00:00:00,ชลบุรี
2571-02-04T00:00:00,19,GI(E) 2-1033,บริษัท กล่องดวงใจ เมนูแฟคเจอริ่ง จำกัด,19,2568-03-04T00:00:00,ชลบุรี
2571-03-04T00:00:00,20,GI(E) 2-1041,บริษัท เจทีเอส อลูมิเนียม แอนด์ เมทเทิล จำกัด,20,2568-04-04T00:00:00,ชลบุรี
2571-04-20T00:00:00,21,GI(E) 2-1059,บริษัท เมอิโก เอเชีย จำกัด,21,2568-04-21T00:00:00,ชลบุรี
2571-04-21T00:00:00,22,GI(E) 2-1061,บริษัท ชาเขียว จำกัด,22,2568-04-22T00:00:00,ชลบุรี
2571-04-23T00:00:00,23,GI(E) 2-1072,บริษัท เบเคอร์ ฮิวช์ส แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,23,2568-04-24T00:00:00,ชลบุรี
2571-04-29T00:00:00,24,GI(E) 2-1098,บริษัท ศานติ กรีน แพค จำกัด,24,2568-04-30T00:00:00,ชลบุรี
2571-07-05T00:00:00,25,GI(E) 2-1141,บริษัท โซโนโค (ประเทศไทย) จำกัด,25,2568-08-05T00:00:00,ชลบุรี
2571-12-05T00:00:00,26,GI(E) 2-1148,บริษัท กลอรี่ วินเนอร์ (ประเทศไทย) จำกัด,26,2568-05-13T00:00:00,ชลบุรี
2571-05-06T00:00:00,27,GI(E) 2-1253,บริษัท เจ.เอส.ที. เซอร์วิสเซส จำกัด,27,2568-06-06T00:00:00,ชลบุรี
2571-08-06T00:00:00,28,GI(E) 2-1264,บริษัท ซึคาทานิ (ประเทศไทย) จำกัด,28,2568-09-06T00:00:00,ชลบุรี
2571-06-19T00:00:00,29,GI(E) 2-1356,บริษัท โปรเกรสพลาส จำกัด,29,2568-06-20T00:00:00,ชลบุรี
2571-06-19T00:00:00,30,GI(E) 2-1359,บริษัท ไทย คอมโพสิท จำกัด,30,2568-06-20T00:00:00,ชลบุรี
2571-06-24T00:00:00,31,GI(E) 2-1382,บริษัท นทีออยล์ จำกัด,31,2568-06-25T00:00:00,ชลบุรี
2571-06-29T00:00:00,32,GI(E) 2-1392,บริษัท วันเวนเชอร์ จำกัด,32,2568-06-30T00:00:00,ชลบุรี
2571-01-07T00:00:00,33,GI(E) 2-1408,บริษัท เจแปน เวิรค์ ซิสเต็ม (ประเทศไทย) จำกัด,33,2568-02-07T00:00:00,ชลบุรี
2571-01-07T00:00:00,34,GI(E) 2-1409,บริษัท อาร์มสตรอง ฟลอร์ริ่ง (ไทยแลนด์) จำกัด,34,2568-02-07T00:00:00,ชลบุรี
2571-03-07T00:00:00,35,GI(E) 2-1419,บริษัท เพค อินดัสทรีส์ จำกัด,35,2568-04-07T00:00:00,ชลบุรี
2571-03-07T00:00:00,36,GI(E) 2-1420,บริษัท เพค อินดัสทรีส์ จำกัด,36,2568-04-07T00:00:00,ชลบุรี
2571-08-07T00:00:00,37,GI(E) 2-1445,บริษัท อี้ฟง อินดัสเทรียล จำกัด,37,2568-09-07T00:00:00,ชลบุรี
2571-08-07T00:00:00,38,GI(E) 2-1451,บริษัท เอสพีเทรดดิ้ง 2020 จำกัด,38,2568-09-07T00:00:00,ชลบุรี
2571-07-14T00:00:00,39,GI(E) 2-1460,บริษัท โทโมเอะ เอเชีย จำกัด,39,2568-07-15T00:00:00,ชลบุรี
2571-07-15T00:00:00,40,GI(E) 2-1473,นายชุติไชยวัฒน์ แสงเงิน,40,2568-07-16T00:00:00,ชลบุรี
2571-07-15T00:00:00,41,GI(E) 2-1479,บริษัท ทาชิบานะ ยามาโมโตะ เทคโนโลยี (ไทยแลนด์) จำกัด,41,2568-07-16T00:00:00,ชลบุรี
