2560,2561,_id,2564,2566,2563,2565,อำเภอ,2562
"4,694.00","2,632.00",1,"4,534.00","4,534.00","3,266.00","4,534.00",อำเภอเมืองสุโขทัย ,"1,873.00"
81,24,2,110,110,20,110,อำเภอบ้านด่านลานหอย,17
135,146,3,66,66,98,66,อำเภอคีรีมาศ ,197
565,271,4,327,327,339,327,อำเภอกงไกรลาศ,374
"2,454.00","2,343.00",5,"2,097.00","2,097.00","1,837.00","2,097.00",อำเภอศรีสัชนาลัย,922
"10,426.00","10,834.00",6,"17,373.00","17,373.00","16,619.00","17,373.00",อำเภอศรีสำโรง,"16,414.00"
"13,986.00","19,290.00",7,"24,700.00","24,700.00","24,509.00","24,700.00",อำเภอสวรรคโลก,"24,801.00"
"5,254.00",448,8,"6,905.00","6,905.00","5,112.00","6,905.00",อำเภอศรีนคร,"4,487.00"
190,157,9,804,804,"1,145.00",804,อำเภอทุ่งเสลี่ยม,596
