จำนวน,ที่มา,_id,ปี,หน่วยนับ,จังหวัด
94,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,1,2561,ราย,พิจิตร
95,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,2,2562,ราย,พิจิตร
96,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,3,2563,ราย,พิจิตร
96,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,4,2564,ราย,พิจิตร
96,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,5,2565,ราย,พิจิตร
91,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,6,2566,ราย,พิจิตร
